epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.458214,0.109107,2.199378,0.216450,0.000050
2,2.364303,0.172227,2.119262,0.359307,0.000100
3,2.101562,0.284040,2.340826,0.406926,0.000150
4,1.843119,0.386835,1.936500,0.506494,0.000200
5,1.734691,0.430117,1.285115,0.636364,0.000250
6,1.575490,0.505861,2.713029,0.584416,0.000300
7,1.588964,0.486023,1.249134,0.588745,0.000350
8,1.402622,0.561767,1.236791,0.696970,0.000400
9,1.410719,0.583408,1.493907,0.640693,0.000450
10,1.291756,0.607755,0.940740,0.753247,0.000500
11,1.204070,0.666366,0.913219,0.818182,0.000500
12,1.153324,0.693417,0.833662,0.844156,0.000500
13,1.204384,0.648332,0.905119,0.774892,0.000500
14,1.062762,0.700631,0.925754,0.818182,0.000500
15,1.053491,0.725879,0.925864,0.826840,0.000500
16,1.022033,0.726781,0.658982,0.896104,0.000500
17,0.911903,0.763751,0.802405,0.844156,0.000500
18,0.932084,0.771867,1.166991,0.735931,0.000500
19,0.906996,0.769161,0.872123,0.831169,0.000500
20,0.878728,0.785392,0.830128,0.844156,0.000500
21,0.907891,0.776375,0.788820,0.831169,0.000500
22,0.817608,0.807935,0.731101,0.883117,0.000500
23,0.779550,0.827773,0.707614,0.852814,0.000500
24,0.780457,0.825969,0.702641,0.870130,0.000250
25,0.657222,0.873760,0.622382,0.922078,0.000250
26,0.629466,0.897205,0.576459,0.926407,0.000250
27,0.617650,0.896303,0.594887,0.926407,0.000250
28,0.590451,0.891794,0.657297,0.930736,0.000250
29,0.587850,0.905320,0.640776,0.909091,0.000250
30,0.604083,0.895401,0.588839,0.917749,0.000250
31,0.577256,0.904418,0.655865,0.904762,0.000250
32,0.577380,0.896303,0.601149,0.909091,0.000250
33,0.554261,0.914337,0.613290,0.917749,0.000250
34,0.581011,0.904418,0.583142,0.900433,0.000125
35,0.511032,0.937782,0.537541,0.939394,0.000125
36,0.493256,0.939585,0.529975,0.948052,0.000125
37,0.483391,0.940487,0.541497,0.935065,0.000125
38,0.467438,0.948602,0.517826,0.935065,0.000125
39,0.466540,0.951307,0.508564,0.943723,0.000125
40,0.475046,0.951307,0.535063,0.926407,0.000125
41,0.461341,0.957619,0.568835,0.926407,0.000125
42,0.479186,0.952209,0.565415,0.939394,0.000125
43,0.482124,0.943192,0.556251,0.935065,0.000125
44,0.452951,0.961226,0.551933,0.952381,0.000125
45,0.473415,0.954013,0.544783,0.948052,0.000125
46,0.461209,0.953111,0.574045,0.939394,0.000125
47,0.477977,0.944094,0.561818,0.935065,0.000063
48,0.452652,0.956718,0.539450,0.935065,0.000063
49,0.431287,0.963030,0.515714,0.939394,0.000063
50,0.428780,0.960325,0.504927,0.952381,0.000063
51,0.428161,0.968440,0.530651,0.948052,0.000063
52,0.408569,0.977457,0.504518,0.948052,0.000063
53,0.404525,0.981966,0.509598,0.952381,0.000063
54,0.393856,0.984671,0.526915,0.943723,0.000063
55,0.401578,0.977457,0.529256,0.952381,0.000063
56,0.400666,0.977457,0.510484,0.935065,0.000063
57,0.384922,0.990983,0.524961,0.922078,0.000063
58,0.380369,0.990081,0.532940,0.935065,0.000063
59,0.393700,0.977457,0.520276,0.952381,0.000063
60,0.392403,0.987376,0.517964,0.943723,0.000031
61,0.378248,0.990081,0.513370,0.948052,0.000031
62,0.377648,0.989179,0.524402,0.943723,0.000031
63,0.381763,0.988278,0.510275,0.948052,0.000031
64,0.392050,0.981966,0.509167,0.952381,0.000031
