epoch,phase,train_loss,train_acc,val_loss,val_acc,lr
1,Phase 1 (Frozen),1.5196278018904437,0.3833128078817734,1.2807346339953147,0.5163538873994639,9.939057285945933e-05
2,Phase 1 (Frozen),1.3555517543125621,0.4618226600985222,1.241077287722442,0.5238605898123324,9.757729755661011e-05
3,Phase 1 (Frozen),1.3145854073792256,0.4850677339901478,1.2320557186159038,0.5222520107238606,9.460482294732421e-05
4,Phase 1 (Frozen),1.2879596754835156,0.5092364532019704,1.2233803332862208,0.5345844504021448,9.05463412215599e-05
5,Phase 1 (Frozen),1.2723737573388763,0.5152401477832512,1.213913959971929,0.5436997319034853,8.55017856687341e-05
6,Phase 1 (Frozen),1.2625261774204048,0.5163177339901478,1.2016376610529624,0.5453083109919571,7.959536998847742e-05
7,Phase 1 (Frozen),1.2439027657649788,0.53125,1.1949916542586634,0.5528150134048258,7.297252973710757e-05
8,Phase 1 (Frozen),1.2421695921808629,0.5341748768472906,1.1937407800706767,0.5378016085790884,6.57963412215599e-05
9,Phase 1 (Frozen),1.213896036735309,0.5494150246305419,1.1923442907252555,0.55656836461126,5.8243506019491436e-05
10,Phase 1 (Frozen),1.207388210766421,0.552801724137931,1.1881595759068506,0.5522788203753352,5.05e-05
1,Phase 2 (Fine-tune),1.1824324785782199,0.5738916256157636,1.1794423875162157,0.5528150134048258,9.94459753267812e-06
2,Phase 2 (Fine-tune),1.1802341092396251,0.5766625615763546,1.174553604449256,0.5613941018766756,9.779754323328192e-06
3,Phase 2 (Fine-tune),1.1851052773997115,0.5814347290640394,1.1762348130597906,0.5592493297587131,9.509529358847657e-06
4,Phase 2 (Fine-tune),1.1753552494377926,0.5748152709359606,1.1718507176738675,0.5581769436997319,9.140576474687265e-06
5,Phase 2 (Fine-tune),1.1730825070089894,0.5863608374384236,1.1691233980453621,0.5635388739946381,8.681980515339464e-06
6,Phase 2 (Fine-tune),1.15895602943862,0.5857450738916257,1.1681202417713101,0.5667560321715818,8.14503363531613e-06
7,Phase 2 (Fine-tune),1.1588262566204728,0.5914408866995073,1.1662417741145117,0.5646112600536193,7.542957248827961e-06
