epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.033336,0.110009,2.174098,0.186147,0.000050
2,2.688288,0.179441,2.009563,0.376623,0.000100
3,2.425296,0.253381,1.856531,0.506494,0.000150
4,2.132614,0.369702,1.621805,0.580087,0.000200
5,1.927668,0.451758,2.141735,0.601732,0.000250
6,1.956806,0.437331,1.777469,0.601732,0.000300
7,1.819587,0.477908,1.550180,0.662338,0.000350
8,1.857542,0.474301,2.069753,0.580087,0.000400
9,1.716306,0.524797,1.479983,0.670996,0.000450
10,1.727578,0.493237,1.340439,0.748918,0.000500
11,1.668524,0.536519,1.572751,0.709957,0.000500
12,1.641497,0.545537,1.378210,0.692641,0.000500
13,1.570401,0.600541,1.492051,0.731602,0.000500
14,1.580281,0.576195,1.329594,0.813853,0.000500
15,1.508656,0.622182,1.408471,0.709957,0.000500
16,1.512869,0.644725,1.458894,0.709957,0.000500
17,1.419248,0.670875,1.320750,0.766234,0.000500
18,1.447148,0.663661,1.117640,0.835498,0.000500
19,1.367947,0.720469,1.178379,0.839827,0.000500
20,1.341890,0.720469,1.156420,0.800866,0.000500
21,1.339631,0.726781,1.301622,0.779221,0.000500
22,1.317110,0.718665,1.287361,0.835498,0.000500
23,1.275741,0.748422,1.182755,0.848485,0.000500
24,1.274362,0.753832,1.203573,0.839827,0.000500
25,1.259697,0.762849,1.323522,0.844156,0.000500
26,1.215981,0.780884,1.514987,0.761905,0.000250
27,1.133157,0.815149,1.179143,0.857143,0.000250
28,1.129724,0.833183,1.060637,0.935065,0.000250
29,1.099363,0.842200,1.070568,0.917749,0.000250
30,1.136578,0.829576,0.993621,0.926407,0.000250
31,1.088804,0.843102,1.126044,0.913420,0.000250
32,1.070886,0.855726,1.024272,0.917749,0.000250
33,1.026758,0.886384,1.011521,0.952381,0.000250
34,1.021763,0.885482,1.004876,0.952381,0.000250
35,1.022374,0.873760,1.043916,0.917749,0.000250
36,1.034971,0.871055,1.122696,0.922078,0.000250
37,1.005831,0.884581,0.979448,0.922078,0.000250
38,1.000637,0.887286,1.054319,0.926407,0.000250
39,1.008590,0.878269,1.725910,0.848485,0.000250
40,0.992320,0.892696,1.090010,0.891775,0.000250
41,1.008790,0.899008,1.012444,0.926407,0.000250
42,0.994862,0.908025,1.057536,0.926407,0.000250
43,0.959032,0.916141,1.114842,0.930736,0.000250
44,0.998333,0.891794,1.017361,0.926407,0.000250
45,0.969209,0.915239,1.142060,0.926407,0.000125
46,0.949178,0.911632,0.996247,0.961039,0.000125
47,0.921652,0.937782,0.958988,0.961039,0.000125
48,0.911363,0.933273,0.938773,0.952381,0.000125
49,0.901037,0.941389,0.983388,0.961039,0.000125
50,0.890913,0.951307,1.065483,0.935065,0.000125
51,0.900580,0.946799,0.948018,0.961039,0.000125
52,0.888642,0.953111,0.999800,0.956710,0.000125
53,0.865519,0.964833,1.081489,0.948052,0.000125
54,0.873640,0.960325,1.066538,0.948052,0.000125
55,0.904845,0.942290,1.028433,0.952381,0.000125
56,0.887445,0.949504,0.981658,0.965368,0.000063
57,0.858121,0.961226,1.092423,0.943723,0.000063
58,0.842976,0.967538,0.937910,0.956710,0.000063
59,0.842668,0.971145,0.973725,0.956710,0.000063
60,0.845818,0.975654,0.952767,0.961039,0.000063
61,0.843937,0.965735,0.991033,0.961039,0.000063
62,0.852799,0.963931,0.955664,0.965368,0.000063
63,0.850880,0.969342,1.005022,0.956710,0.000063
64,0.840359,0.972047,1.061832,0.939394,0.000063
65,0.835993,0.974752,1.095707,0.948052,0.000063
66,0.822791,0.981966,1.014880,0.943723,0.000031
67,0.826245,0.978359,0.978704,0.965368,0.000031
68,0.825058,0.978359,0.984056,0.948052,0.000031
69,0.801756,0.985573,0.966770,0.965368,0.000031
70,0.801719,0.982867,0.950176,0.965368,0.000031
71,0.807366,0.978359,0.964776,0.956710,0.000031
72,0.802791,0.989179,0.936616,0.965368,0.000031
73,0.801634,0.982867,0.911082,0.965368,0.000031
74,0.805176,0.989179,0.967919,0.965368,0.000031
75,0.807532,0.977457,1.074158,0.952381,0.000031
76,0.806513,0.985573,0.922068,0.961039,0.000031
77,0.818069,0.980162,0.944599,0.965368,0.000031
78,0.806939,0.984671,0.991108,0.956710,0.000031
79,0.803431,0.983769,0.935039,0.961039,0.000031
80,0.806000,0.985573,1.029581,0.943723,0.000031
81,0.794468,0.990081,1.051151,0.948052,0.000016
82,0.801699,0.983769,0.965162,0.956710,0.000016
83,0.791955,0.984671,0.995943,0.956710,0.000016
84,0.784165,0.996393,1.057565,0.948052,0.000016
85,0.799615,0.991885,1.187508,0.935065,0.000016
86,0.791712,0.985573,1.162374,0.943723,0.000016
87,0.791206,0.987376,1.056452,0.952381,0.000016
88,0.783723,0.990081,0.938135,0.965368,0.000016
89,0.784769,0.993688,0.986248,0.961039,0.000008
90,0.792679,0.986474,1.072033,0.952381,0.000008
91,0.781827,0.989179,0.922199,0.965368,0.000008
92,0.786391,0.985573,0.971452,0.969697,0.000008
93,0.778547,0.994590,1.027181,0.956710,0.000008
94,0.793251,0.991885,1.005517,0.952381,0.000008
95,0.789744,0.990081,0.956790,0.961039,0.000008
96,0.789073,0.990983,0.992979,0.961039,0.000008
97,0.776641,0.995491,1.023539,0.952381,0.000004
98,0.785761,0.990983,1.146986,0.948052,0.000004
99,0.778283,0.993688,0.998832,0.952381,0.000004
100,0.788051,0.988278,1.003834,0.956710,0.000004
101,0.785493,0.989179,0.948720,0.965368,0.000004
102,0.775772,0.995491,0.971948,0.961039,0.000004
103,0.777872,0.993688,1.000079,0.956710,0.000004
104,0.773578,0.990081,1.018618,0.961039,0.000004
105,0.785656,0.990983,0.936274,0.961039,0.000002
106,0.778486,0.992786,0.992291,0.961039,0.000002
107,0.790766,0.989179,1.006355,0.952381,0.000002
108,0.776567,0.995491,0.931695,0.969697,0.000002
109,0.785546,0.990081,1.113189,0.948052,0.000002
110,0.776756,0.993688,0.989593,0.961039,0.000002
111,0.785014,0.992786,1.013282,0.961039,0.000002
112,0.781334,0.990081,0.911179,0.969697,0.000002
113,0.770548,0.993688,1.118808,0.948052,0.000001
114,0.773924,0.995491,0.979387,0.961039,0.000001
115,0.774635,0.995491,0.973667,0.961039,0.000001
116,0.773768,0.994590,1.071018,0.948052,0.000001
117,0.775228,0.994590,1.056241,0.943723,0.000001
118,0.781586,0.992786,1.033302,0.956710,0.000001
119,0.779241,0.991885,0.960443,0.969697,0.000001
120,0.777390,0.993688,0.902948,0.969697,0.000001
121,0.778405,0.990081,0.883761,0.969697,0.000001
122,0.775797,0.996393,1.000152,0.961039,0.000001
123,0.776404,0.990983,0.987742,0.961039,0.000001
124,0.786578,0.991885,1.001342,0.961039,0.000001
125,0.784614,0.990081,1.025309,0.952381,0.000001
126,0.775813,0.995491,0.896172,0.969697,0.000001
127,0.778862,0.992786,1.150049,0.948052,0.000001
128,0.782252,0.990983,0.949131,0.969697,0.000001
129,0.778309,0.993688,0.922328,0.965368,0.000000
130,0.782739,0.989179,1.032709,0.961039,0.000000
131,0.777110,0.992786,1.024890,0.952381,0.000000
132,0.777128,0.995491,1.098803,0.948052,0.000000
133,0.774595,0.992786,1.081823,0.952381,0.000000
134,0.783980,0.987376,1.037439,0.952381,0.000000
135,0.776399,0.994590,1.041063,0.948052,0.000000
136,0.775378,0.991885,1.083916,0.952381,0.000000
137,0.781483,0.990081,1.051013,0.948052,0.000000
138,0.782759,0.993688,0.948197,0.965368,0.000000
139,0.785292,0.992786,0.986611,0.961039,0.000000
140,0.783363,0.992786,0.996980,0.961039,0.000000
141,0.782390,0.991885,1.105848,0.943723,0.000000
142,0.782928,0.990081,0.973654,0.961039,0.000000
