epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.509058,0.122633,2.249377,0.181818,0.000100
2,2.291714,0.224527,2.111634,0.380952,0.000200
3,2.118392,0.323715,1.676792,0.480519,0.000300
4,1.940130,0.374211,1.547620,0.567100,0.000400
5,1.727144,0.475203,1.719199,0.515152,0.000500
6,1.740475,0.483318,1.549113,0.627706,0.000600
7,1.555107,0.560866,2.137292,0.632035,0.000700
8,1.573843,0.567178,1.589812,0.558442,0.000800
9,1.535368,0.577998,1.505436,0.601732,0.000900
10,1.532518,0.568981,1.669831,0.606061,0.001000
11,1.383660,0.630298,1.042327,0.796537,0.001000
12,1.325130,0.669973,1.122874,0.796537,0.001000
13,1.260070,0.690712,1.046514,0.813853,0.001000
14,1.196533,0.729486,1.318054,0.683983,0.001000
15,1.185574,0.732191,1.051377,0.831169,0.001000
16,1.176569,0.735798,1.136836,0.796537,0.001000
17,1.122667,0.761046,1.345967,0.740260,0.001000
18,1.076400,0.774572,0.983246,0.870130,0.001000
19,1.086549,0.772768,0.971575,0.870130,0.001000
20,1.051517,0.787196,0.933882,0.878788,0.001000
21,0.998214,0.807935,0.993685,0.852814,0.001000
22,0.974556,0.827773,0.882889,0.887446,0.001000
23,0.954228,0.844004,0.890272,0.891775,0.001000
24,1.015549,0.802525,0.926573,0.870130,0.001000
25,0.991661,0.808837,0.997312,0.835498,0.001000
26,0.993631,0.812444,0.886811,0.896104,0.001000
27,0.955853,0.826871,0.918438,0.891775,0.001000
28,0.900818,0.853922,0.990257,0.896104,0.001000
29,0.890124,0.859333,1.141543,0.796537,0.001000
30,0.899427,0.860234,0.895109,0.891775,0.000500
31,0.800177,0.897205,0.783116,0.922078,0.000500
32,0.787889,0.908025,0.826260,0.909091,0.000500
33,0.764882,0.908927,0.805085,0.922078,0.000500
34,0.763542,0.929666,0.800813,0.939394,0.000500
35,0.754403,0.926060,0.807189,0.926407,0.000500
36,0.723881,0.932372,0.775981,0.935065,0.000500
37,0.727126,0.937782,0.788846,0.930736,0.000500
38,0.757867,0.923354,0.870132,0.900433,0.000500
39,0.743363,0.923354,0.783288,0.909091,0.000500
40,0.722577,0.933273,0.814798,0.917749,0.000500
41,0.741996,0.926060,0.812891,0.900433,0.000500
42,0.714486,0.949504,0.792432,0.930736,0.000500
43,0.715630,0.936880,0.846190,0.922078,0.000500
44,0.714407,0.935978,0.813695,0.930736,0.000250
45,0.667950,0.959423,0.736018,0.943723,0.000250
46,0.650892,0.972047,0.717286,0.956710,0.000250
47,0.646018,0.968440,0.740276,0.943723,0.000250
48,0.631279,0.980162,0.735559,0.952381,0.000250
49,0.639601,0.970243,0.732668,0.948052,0.000250
50,0.624394,0.979261,0.761282,0.943723,0.000250
51,0.623726,0.981966,0.732850,0.948052,0.000250
52,0.635033,0.969342,0.717180,0.943723,0.000250
53,0.650425,0.969342,0.750147,0.948052,0.000250
54,0.617641,0.981064,0.733667,0.939394,0.000250
55,0.641989,0.971145,0.757745,0.935065,0.000250
56,0.635951,0.970243,0.722302,0.948052,0.000250
57,0.630020,0.971145,0.723143,0.952381,0.000250
58,0.623168,0.980162,0.735190,0.917749,0.000250
59,0.610923,0.984671,0.771914,0.922078,0.000250
60,0.615226,0.980162,0.721768,0.952381,0.000125
61,0.611654,0.981966,0.702103,0.956710,0.000125
62,0.593204,0.987376,0.692723,0.952381,0.000125
63,0.582860,0.990983,0.707867,0.956710,0.000125
64,0.587320,0.990081,0.726515,0.939394,0.000125
65,0.584513,0.990081,0.698016,0.961039,0.000125
66,0.595926,0.985573,0.700780,0.939394,0.000125
67,0.578810,0.991885,0.706169,0.952381,0.000125
68,0.580576,0.988278,0.703964,0.961039,0.000125
69,0.587887,0.986474,0.696314,0.943723,0.000125
70,0.579010,0.990983,0.708997,0.952381,0.000063
71,0.570745,0.994590,0.690428,0.952381,0.000063
72,0.564736,0.995491,0.710609,0.952381,0.000063
73,0.566877,0.993688,0.690056,0.952381,0.000063
74,0.564295,0.993688,0.693336,0.952381,0.000063
75,0.559281,0.996393,0.683868,0.956710,0.000063
76,0.557638,0.997295,0.679459,0.965368,0.000063
77,0.556468,0.996393,0.690940,0.956710,0.000063
78,0.556890,0.998197,0.700899,0.952381,0.000063
79,0.558912,0.996393,0.695962,0.948052,0.000063
80,0.553954,0.996393,0.684645,0.948052,0.000063
81,0.555845,0.993688,0.680897,0.952381,0.000063
82,0.556504,0.995491,0.684043,0.956710,0.000063
83,0.556629,0.996393,0.686912,0.952381,0.000063
84,0.559684,0.995491,0.679276,0.961039,0.000063
85,0.553173,0.997295,0.691731,0.943723,0.000063
86,0.558576,0.996393,0.674236,0.943723,0.000063
87,0.561593,0.993688,0.665797,0.952381,0.000063
88,0.557702,0.997295,0.683335,0.952381,0.000063
89,0.548301,0.998197,0.671236,0.939394,0.000063
90,0.552529,0.996393,0.678915,0.943723,0.000063
91,0.550460,0.998197,0.681729,0.948052,0.000063
92,0.550403,0.997295,0.670704,0.956710,0.000063
93,0.547399,0.999098,0.691718,0.943723,0.000063
94,0.553907,0.997295,0.695419,0.952381,0.000063
95,0.551291,0.996393,0.680250,0.952381,0.000031
96,0.548802,0.998197,0.660588,0.961039,0.000031
