epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.531,1.34437,1.45092,1.00473,0.49825,0.55354,0.49278,0.33229,0.9837,14.2753,0.8395,0.000329932,0.000329932,0.0673367
2,95.3361,1.09095,0.85806,0.90647,0.51422,0.64966,0.57742,0.39714,0.92068,12.4583,0.8148,0.000661077,0.000661077,0.0343345
3,140.962,1.06483,0.77963,0.89913,0.66145,0.77487,0.72861,0.51274,0.86574,12.392,0.79731,0.000990021,0.000990021,0.00133016
4,187.198,1.06579,0.73954,0.89545,0.70745,0.7769,0.76028,0.53527,0.90172,5.16065,0.80507,0.0009901,0.0009901,0.0009901
5,231.992,1.05183,0.7104,0.89217,0.68937,0.75402,0.7419,0.52877,0.85691,1.6889,0.79518,0.0009868,0.0009868,0.0009868
6,276.066,1.03484,0.67919,0.8858,0.72969,0.79213,0.81133,0.58698,0.83993,1.08497,0.79144,0.0009835,0.0009835,0.0009835
7,321.624,1.02983,0.65628,0.88246,0.80144,0.77498,0.83178,0.60684,0.8556,1.42479,0.79306,0.0009802,0.0009802,0.0009802
8,367.795,1.0118,0.64353,0.87809,0.77675,0.78771,0.81757,0.58275,0.86486,3.54054,0.79896,0.0009769,0.0009769,0.0009769
9,411.6,1.04034,0.63522,0.88842,0.76493,0.82537,0.8461,0.61994,0.81163,1.8834,0.78416,0.0009736,0.0009736,0.0009736
10,457.002,0.99857,0.62411,0.88048,0.81705,0.84537,0.88505,0.65378,0.81421,4.65439,0.78284,0.0009703,0.0009703,0.0009703
11,502.877,0.9798,0.5933,0.87753,0.81112,0.82779,0.8774,0.63969,0.84091,1.11607,0.78982,0.000967,0.000967,0.000967
12,546.741,0.97766,0.59693,0.87812,0.8109,0.82954,0.88016,0.65255,0.81984,6.73586,0.7846,0.0009637,0.0009637,0.0009637
13,590.977,0.97639,0.58864,0.87325,0.77103,0.83707,0.87502,0.64605,0.80987,3.03952,0.78257,0.0009604,0.0009604,0.0009604
14,634.781,1.00598,0.5901,0.88127,0.83654,0.82156,0.88445,0.6418,0.85892,1.18579,0.79236,0.0009571,0.0009571,0.0009571
15,678.769,0.98106,0.57766,0.8739,0.8487,0.8294,0.89771,0.65846,0.82494,0.94047,0.7849,0.0009538,0.0009538,0.0009538
16,724.2,0.97519,0.56676,0.87378,0.86104,0.85068,0.90886,0.67721,0.79226,3.02231,0.77817,0.0009505,0.0009505,0.0009505
17,769.685,0.98063,0.56551,0.87255,0.83778,0.86953,0.90878,0.67475,0.82349,0.57699,0.78218,0.0009472,0.0009472,0.0009472
18,813.274,0.96783,0.54858,0.87087,0.85931,0.86015,0.9118,0.68175,0.80378,2.00843,0.77826,0.0009439,0.0009439,0.0009439
19,858.98,0.97918,0.55073,0.86903,0.86777,0.86384,0.91724,0.68541,0.79408,0.81291,0.7766,0.0009406,0.0009406,0.0009406
20,904.644,0.96046,0.53419,0.86852,0.84433,0.88107,0.91563,0.68435,0.79517,1.05433,0.77736,0.0009373,0.0009373,0.0009373
21,949.162,0.94984,0.5292,0.86539,0.83642,0.86638,0.89702,0.6694,0.80001,0.51923,0.77826,0.000934,0.000934,0.000934
22,993.584,0.94799,0.53226,0.86835,0.85078,0.87018,0.90369,0.67325,0.79977,0.50305,0.77797,0.0009307,0.0009307,0.0009307
23,1037.07,0.97301,0.54173,0.87081,0.87103,0.86115,0.90908,0.68442,0.79495,0.70506,0.77883,0.0009274,0.0009274,0.0009274
24,1081.09,0.94224,0.5242,0.8665,0.89109,0.87528,0.92779,0.70013,0.78862,0.55962,0.77605,0.0009241,0.0009241,0.0009241
25,1126.3,0.95297,0.5215,0.86665,0.86546,0.89149,0.92967,0.70472,0.77975,0.4655,0.77454,0.0009208,0.0009208,0.0009208
26,1171.87,0.94336,0.52274,0.86553,0.8745,0.86691,0.91968,0.68337,0.81018,0.58265,0.77899,0.0009175,0.0009175,0.0009175
27,1216.81,0.94671,0.52462,0.86266,0.88881,0.86641,0.9299,0.70098,0.78441,0.47692,0.77674,0.0009142,0.0009142,0.0009142
