epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.429198,0.106402,2.283665,0.134199,0.000100
2,2.319539,0.146078,2.255179,0.181818,0.000200
3,2.181888,0.228133,1.869291,0.346320,0.000300
4,1.927879,0.338142,2.014846,0.311688,0.000400
5,1.770137,0.406673,1.651773,0.497835,0.000500
6,1.675356,0.471596,1.432618,0.567100,0.000600
7,1.630480,0.481515,1.880376,0.437229,0.000700
8,1.599827,0.506763,1.535786,0.549784,0.000800
9,1.556344,0.522994,1.543758,0.532468,0.000900
10,1.548474,0.544635,1.495299,0.554113,0.001000
11,1.425450,0.587917,1.437806,0.614719,0.001000
12,1.427447,0.582507,1.288431,0.623377,0.001000
13,1.431978,0.600541,1.274603,0.649351,0.001000
14,1.414254,0.596934,1.234837,0.696970,0.001000
15,1.368848,0.638413,1.130572,0.757576,0.001000
16,1.292618,0.668170,1.038609,0.800866,0.001000
17,1.249514,0.679892,1.288487,0.718615,0.001000
18,1.185466,0.723174,1.168869,0.740260,0.001000
19,1.202628,0.704238,1.205155,0.731602,0.001000
20,1.278924,0.682597,1.062252,0.783550,0.001000
21,1.247039,0.691614,0.908826,0.852814,0.001000
22,1.140966,0.733995,1.240314,0.744589,0.001000
23,1.141964,0.735798,0.882937,0.874459,0.001000
24,1.134448,0.743913,1.131217,0.753247,0.001000
25,1.168058,0.726781,1.080077,0.774892,0.001000
26,1.125438,0.752029,1.410635,0.709957,0.001000
27,1.108555,0.748422,1.015928,0.818182,0.001000
28,1.114999,0.752029,1.040613,0.818182,0.001000
29,1.055417,0.793508,0.931786,0.839827,0.001000
30,1.015189,0.798918,0.940412,0.865801,0.001000
31,1.005844,0.798016,0.942689,0.848485,0.000500
32,0.933903,0.828674,0.758016,0.930736,0.000500
33,0.939769,0.830478,0.833960,0.891775,0.000500
34,0.900404,0.851217,0.823310,0.909091,0.000500
35,0.881085,0.867448,0.827513,0.913420,0.000500
36,0.886394,0.850316,0.816377,0.917749,0.000500
37,0.894473,0.844905,0.841266,0.891775,0.000500
