epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.519494,0.121731,2.372465,0.138528,0.000100
2,2.282345,0.239856,2.140274,0.372294,0.000200
3,2.024460,0.354373,1.873651,0.484848,0.000300
4,1.773902,0.464382,1.806373,0.532468,0.000400
5,1.712481,0.478810,1.470925,0.528139,0.000500
6,1.648610,0.534716,1.359099,0.610390,0.000600
7,1.610484,0.526601,1.828055,0.510823,0.000700
8,1.682325,0.474301,1.506201,0.658009,0.000800
9,1.518941,0.577998,1.707461,0.606061,0.000900
10,1.470720,0.582507,1.486015,0.593074,0.001000
11,1.439695,0.605050,1.209237,0.735931,0.001000
12,1.326442,0.648332,1.283382,0.757576,0.001000
13,1.288983,0.667268,1.158740,0.748918,0.001000
14,1.281816,0.685302,1.092856,0.753247,0.001000
15,1.258648,0.698828,1.350129,0.679654,0.001000
16,1.232038,0.696123,1.277024,0.770563,0.001000
17,1.178157,0.725879,0.988381,0.883117,0.001000
18,1.145399,0.746619,1.066189,0.800866,0.001000
19,1.082095,0.772768,1.338963,0.748918,0.001000
20,1.103951,0.771867,1.117368,0.779221,0.001000
21,1.103941,0.768260,1.100885,0.792208,0.001000
22,1.142652,0.744815,0.970892,0.874459,0.001000
23,1.050748,0.793508,0.962235,0.857143,0.001000
24,0.980217,0.807935,0.862531,0.904762,0.001000
25,0.947296,0.832281,0.880530,0.913420,0.001000
26,0.922879,0.848512,0.959481,0.891775,0.001000
27,0.931109,0.839495,1.100650,0.835498,0.001000
28,0.932724,0.849414,0.900023,0.887446,0.001000
29,0.966130,0.824166,0.846102,0.904762,0.001000
30,0.915849,0.845807,0.944355,0.896104,0.001000
31,0.911595,0.861136,0.844784,0.900433,0.001000
32,0.883591,0.855726,0.867475,0.926407,0.001000
33,0.881750,0.865645,1.148792,0.861472,0.001000
34,0.920987,0.849414,1.208185,0.770563,0.001000
35,0.891842,0.859333,0.969171,0.878788,0.001000
36,0.837432,0.880974,0.908002,0.904762,0.001000
37,0.827411,0.893598,0.832353,0.909091,0.001000
38,0.859855,0.881876,0.874140,0.896104,0.001000
39,0.801381,0.905320,0.869490,0.917749,0.001000
40,0.811729,0.902615,0.783014,0.930736,0.001000
41,0.830231,0.888188,1.207969,0.805195,0.001000
42,0.857876,0.878269,0.847932,0.909091,0.001000
43,0.816433,0.889089,0.895431,0.852814,0.001000
44,0.829432,0.893598,0.804835,0.922078,0.001000
45,0.805874,0.898106,0.887392,0.891775,0.001000
46,0.794193,0.911632,0.781844,0.922078,0.001000
47,0.811419,0.902615,0.912204,0.909091,0.001000
48,0.790901,0.905320,0.816788,0.922078,0.001000
49,0.747684,0.934175,0.835269,0.896104,0.001000
50,0.780073,0.912534,0.858318,0.891775,0.001000
51,0.756628,0.929666,0.869101,0.913420,0.001000
52,0.743113,0.935978,0.775174,0.922078,0.001000
53,0.723252,0.943192,0.837828,0.926407,0.001000
54,0.770575,0.919748,0.742895,0.948052,0.001000
55,0.740137,0.930568,0.754888,0.956710,0.001000
56,0.767589,0.912534,0.793514,0.922078,0.001000
57,0.770811,0.917944,0.889846,0.896104,0.001000
58,0.768859,0.908025,0.836655,0.896104,0.001000
59,0.739820,0.921551,0.767073,0.930736,0.001000
60,0.712603,0.942290,0.737685,0.935065,0.001000
61,0.723574,0.949504,0.761546,0.943723,0.001000
62,0.713336,0.941389,0.814898,0.909091,0.001000
63,0.699640,0.936880,0.753092,0.956710,0.001000
64,0.673296,0.963030,0.720003,0.956710,0.001000
65,0.677698,0.953111,0.766062,0.917749,0.001000
66,0.743867,0.919748,0.909914,0.878788,0.001000
67,0.706050,0.944094,0.773419,0.943723,0.001000
68,0.718742,0.935978,0.781865,0.922078,0.001000
69,0.677970,0.954914,0.725248,0.935065,0.001000
70,0.690482,0.944094,0.849122,0.935065,0.001000
71,0.678857,0.958521,0.695930,0.956710,0.001000
72,0.718258,0.935978,0.809425,0.913420,0.001000
73,0.702083,0.940487,0.705829,0.956710,0.001000
74,0.660953,0.959423,0.817936,0.917749,0.001000
75,0.727788,0.937782,0.896583,0.883117,0.001000
76,0.702173,0.944995,0.772297,0.935065,0.001000
77,0.713204,0.945897,0.769987,0.935065,0.001000
78,0.701681,0.937782,0.844540,0.922078,0.001000
79,0.692568,0.950406,1.006174,0.904762,0.000500
80,0.666925,0.952209,0.665287,0.974026,0.000500
81,0.610845,0.981064,0.647127,0.974026,0.000500
82,0.599413,0.987376,0.661951,0.965368,0.000500
83,0.593075,0.984671,0.675506,0.965368,0.000500
84,0.601303,0.983769,0.695223,0.952381,0.000500
