epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.490070,0.128043,2.231943,0.255411,0.000100
2,2.290245,0.216411,1.970855,0.424242,0.000200
3,2.126312,0.331830,2.123688,0.432900,0.000300
4,1.950671,0.409378,2.727562,0.549784,0.000400
5,1.862922,0.464382,4.290079,0.571429,0.000500
6,1.761863,0.498647,1.472884,0.636364,0.000600
7,1.729428,0.529306,1.550499,0.614719,0.000700
8,1.661847,0.533814,1.942120,0.653680,0.000800
9,1.649643,0.555455,1.388095,0.705628,0.000900
10,1.624398,0.575293,1.487780,0.640693,0.001000
11,1.638618,0.550947,1.455899,0.653680,0.001000
12,1.475164,0.635708,1.230653,0.796537,0.001000
13,1.367647,0.689811,1.300654,0.774892,0.001000
14,1.318039,0.729486,1.404030,0.735931,0.001000
15,1.360207,0.699729,1.408603,0.766234,0.001000
16,1.316040,0.729486,1.155951,0.848485,0.001000
17,1.248676,0.762849,1.935984,0.727273,0.001000
18,1.267808,0.768260,1.413288,0.848485,0.001000
19,1.173374,0.801623,1.144105,0.844156,0.001000
20,1.194853,0.796213,1.104471,0.896104,0.001000
21,1.147147,0.809739,1.135091,0.848485,0.001000
22,1.149277,0.810640,1.031748,0.917749,0.001000
23,1.139314,0.813345,1.132404,0.852814,0.001000
24,1.110788,0.824166,1.394062,0.822511,0.001000
25,1.089738,0.847610,1.075974,0.878788,0.001000
26,1.165427,0.798918,1.078167,0.861472,0.001000
27,1.097312,0.840397,1.041860,0.887446,0.001000
28,1.082602,0.851217,1.010050,0.930736,0.001000
29,1.043344,0.862940,1.146397,0.909091,0.001000
30,1.023669,0.867448,2.111183,0.874459,0.001000
31,1.057791,0.859333,1.588871,0.822511,0.001000
32,1.055201,0.858431,1.037081,0.896104,0.001000
33,1.067832,0.844905,1.094571,0.874459,0.001000
34,1.049498,0.858431,1.189562,0.822511,0.001000
35,1.019008,0.880072,1.129134,0.835498,0.001000
36,1.031274,0.866546,1.030546,0.904762,0.000500
37,0.931352,0.932372,0.975121,0.930736,0.000500
38,0.906274,0.937782,0.955957,0.930736,0.000500
39,0.907740,0.934175,0.978566,0.930736,0.000500
40,0.898843,0.944094,1.010278,0.917749,0.000500
41,0.897566,0.939585,1.019268,0.926407,0.000500
42,0.888817,0.942290,0.971083,0.913420,0.000500
43,0.912083,0.935077,0.921872,0.956710,0.000500
44,0.880877,0.944094,0.900205,0.956710,0.000500
45,0.883793,0.949504,1.039313,0.909091,0.000500
46,0.872275,0.950406,0.898723,0.948052,0.000500
47,0.853414,0.958521,0.930150,0.939394,0.000500
48,0.884688,0.944995,0.928886,0.952381,0.000500
49,0.885438,0.944995,0.963141,0.926407,0.000500
50,0.866091,0.960325,0.939206,0.930736,0.000500
51,0.855944,0.963030,0.933372,0.935065,0.000500
52,0.842565,0.966637,0.963787,0.922078,0.000500
53,0.866789,0.952209,0.954089,0.913420,0.000500
54,0.870499,0.955816,0.974311,0.922078,0.000250
55,0.826079,0.974752,0.895107,0.943723,0.000250
56,0.808035,0.977457,0.893546,0.943723,0.000250
57,0.802824,0.978359,0.942690,0.939394,0.000250
58,0.825426,0.966637,0.880725,0.943723,0.000250
59,0.814980,0.973850,0.898272,0.948052,0.000250
60,0.821128,0.964833,0.896323,0.943723,0.000250
61,0.818063,0.976555,0.888521,0.961039,0.000250
62,0.807716,0.978359,0.895808,0.939394,0.000250
63,0.817170,0.972047,0.894505,0.948052,0.000250
64,0.816182,0.967538,0.887224,0.939394,0.000250
65,0.797322,0.978359,0.890029,0.948052,0.000250
66,0.785690,0.984671,0.885072,0.930736,0.000125
67,0.777845,0.980162,0.876184,0.943723,0.000125
68,0.774997,0.985573,0.871337,0.948052,0.000125
69,0.759282,0.994590,0.860990,0.948052,0.000125
70,0.755026,0.994590,0.876328,0.943723,0.000125
71,0.760753,0.995491,0.864240,0.956710,0.000125
72,0.761238,0.990983,0.885553,0.939394,0.000125
73,0.752389,0.993688,0.867242,0.948052,0.000125
74,0.749732,0.994590,0.885583,0.943723,0.000125
75,0.754852,0.990081,0.884304,0.926407,0.000125
76,0.751491,0.991885,0.884094,0.935065,0.000125
77,0.747032,0.994590,0.861018,0.943723,0.000063
78,0.749649,0.995491,0.881898,0.930736,0.000063
79,0.737428,0.999098,0.857122,0.939394,0.000063
80,0.742000,0.996393,0.870848,0.939394,0.000063
81,0.742400,0.997295,0.861408,0.939394,0.000063
