epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.191376,0.255185,1.718700,0.458874,0.000100
2,1.859986,0.428314,1.547007,0.588745,0.000200
3,1.762599,0.477908,1.691787,0.562771,0.000300
4,1.812198,0.439134,1.766816,0.497835,0.000400
5,1.709629,0.471596,1.282855,0.714286,0.000500
6,1.644209,0.494139,1.486760,0.645022,0.000600
7,1.710481,0.482417,1.530130,0.584416,0.000700
8,1.585058,0.535618,1.447695,0.670996,0.000800
9,1.564201,0.562669,1.750027,0.614719,0.000900
10,1.466678,0.596934,1.855622,0.601732,0.001000
11,1.421418,0.619477,1.266301,0.735931,0.001000
12,1.441520,0.604148,1.551791,0.619048,0.001000
13,1.356026,0.648332,1.186448,0.748918,0.001000
14,1.332542,0.654644,1.507836,0.649351,0.001000
15,1.298644,0.665464,1.034512,0.844156,0.001000
16,1.210587,0.726781,1.254919,0.727273,0.001000
17,1.231846,0.697926,1.149282,0.744589,0.001000
18,1.198007,0.709648,1.086044,0.761905,0.001000
19,1.109841,0.765555,1.012867,0.831169,0.001000
20,1.052152,0.797115,1.049035,0.822511,0.001000
21,1.103584,0.776375,1.072408,0.779221,0.001000
22,1.044714,0.795311,1.283580,0.757576,0.001000
23,1.030753,0.799820,1.036846,0.839827,0.001000
24,0.993980,0.816050,1.321165,0.774892,0.001000
25,0.989598,0.825068,1.036077,0.826840,0.001000
26,1.010526,0.812444,0.888556,0.917749,0.001000
27,0.958174,0.830478,0.901300,0.883117,0.001000
28,0.943982,0.843102,0.985835,0.865801,0.001000
29,0.931823,0.853922,1.014399,0.870130,0.001000
30,0.956757,0.845807,1.068207,0.848485,0.001000
31,0.899582,0.860234,0.846075,0.909091,0.001000
32,0.904838,0.856628,0.881466,0.913420,0.001000
33,0.874121,0.875564,0.924076,0.909091,0.001000
34,0.881467,0.867448,0.836085,0.904762,0.001000
35,0.931091,0.850316,0.874210,0.935065,0.001000
36,0.879512,0.871055,1.063284,0.844156,0.001000
37,0.858319,0.880072,0.904661,0.904762,0.001000
38,0.821998,0.896303,0.867051,0.904762,0.001000
39,0.812478,0.907124,0.815122,0.922078,0.001000
40,0.819148,0.894500,1.042412,0.891775,0.001000
41,0.798186,0.908025,1.107638,0.839827,0.001000
42,0.810827,0.905320,0.852279,0.922078,0.001000
43,0.804424,0.908927,0.886522,0.917749,0.001000
44,0.795603,0.915239,0.909947,0.913420,0.001000
45,0.805346,0.908927,0.803225,0.926407,0.001000
46,0.818239,0.900812,1.067030,0.826840,0.001000
47,0.817937,0.897205,0.774243,0.956710,0.001000
48,0.791061,0.914337,1.038349,0.852814,0.001000
49,0.814340,0.898106,0.850964,0.926407,0.001000
50,0.760777,0.928765,0.821251,0.922078,0.001000
51,0.776003,0.906222,0.867829,0.887446,0.001000
52,0.741401,0.943192,0.930329,0.909091,0.001000
53,0.755071,0.926961,1.016983,0.878788,0.001000
54,0.730116,0.941389,0.875238,0.922078,0.001000
55,0.750945,0.924256,0.929544,0.887446,0.000500
56,0.724539,0.943192,0.752587,0.952381,0.000500
57,0.659101,0.972949,0.710528,0.952381,0.000500
58,0.643599,0.979261,0.750468,0.956710,0.000500
