epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.497302,0.121731,2.214225,0.199134,0.000100
2,2.221284,0.238954,1.985487,0.419913,0.000200
3,2.050912,0.344454,3.197800,0.411255,0.000300
4,1.862221,0.424707,1.822972,0.567100,0.000400
5,1.753833,0.470694,1.981767,0.554113,0.000500
6,1.673562,0.506763,2.337435,0.645022,0.000600
7,1.604443,0.536519,1.911928,0.567100,0.000700
8,1.548714,0.548242,1.209976,0.709957,0.000800
9,1.505515,0.570784,1.929022,0.614719,0.000900
10,1.485620,0.574391,1.486786,0.796537,0.001000
11,1.380271,0.635708,1.048197,0.826840,0.001000
12,1.337020,0.660956,1.097998,0.774892,0.001000
13,1.348910,0.654644,1.681415,0.787879,0.001000
14,1.317448,0.674482,1.285405,0.757576,0.001000
15,1.217811,0.723174,0.983559,0.822511,0.001000
16,1.176009,0.728584,0.953664,0.831169,0.001000
17,1.085302,0.774572,0.954837,0.839827,0.001000
18,1.057406,0.793508,1.122376,0.800866,0.001000
19,1.092183,0.759243,1.071122,0.904762,0.001000
20,1.015880,0.803427,1.079423,0.839827,0.001000
21,1.028722,0.796213,0.925519,0.865801,0.001000
22,1.017486,0.795311,2.095608,0.753247,0.001000
23,1.028917,0.802525,0.978401,0.857143,0.001000
24,1.015126,0.816050,1.334057,0.757576,0.001000
25,0.973519,0.826871,0.849191,0.909091,0.001000
26,0.963507,0.823264,0.853280,0.917749,0.001000
27,0.982190,0.813345,0.967979,0.844156,0.001000
28,0.952095,0.819657,0.967766,0.874459,0.001000
29,1.005490,0.817854,0.886871,0.900433,0.001000
30,0.922517,0.850316,0.884542,0.870130,0.001000
31,0.913993,0.853021,1.177863,0.813853,0.001000
32,0.933723,0.843102,1.160914,0.848485,0.001000
33,0.865135,0.870153,0.805271,0.939394,0.001000
34,0.818129,0.895401,0.891608,0.887446,0.001000
35,0.893966,0.863841,1.034684,0.800866,0.001000
36,0.878089,0.867448,0.889895,0.887446,0.001000
37,0.880634,0.867448,0.873396,0.874459,0.001000
38,0.847433,0.876465,0.852408,0.909091,0.001000
39,0.806575,0.898106,0.772426,0.939394,0.001000
40,0.803478,0.900812,0.832344,0.930736,0.001000
41,0.795525,0.900812,0.829189,0.922078,0.001000
42,0.775310,0.908927,0.891935,0.900433,0.001000
43,0.786941,0.910730,0.799947,0.926407,0.001000
44,0.781244,0.908025,0.823940,0.926407,0.001000
45,0.778728,0.914337,0.818911,0.900433,0.001000
46,0.795930,0.899008,1.128515,0.844156,0.001000
47,0.838007,0.874662,0.837776,0.909091,0.000500
48,0.747858,0.934175,0.779595,0.935065,0.000500
49,0.712404,0.946799,0.773644,0.939394,0.000500
50,0.698193,0.954013,0.754092,0.935065,0.000500
51,0.691220,0.952209,0.729703,0.948052,0.000500
52,0.666198,0.964833,0.754074,0.943723,0.000500
53,0.676668,0.956718,0.718857,0.956710,0.000500
54,0.640695,0.968440,0.721904,0.943723,0.000500
55,0.640375,0.972949,0.766168,0.939394,0.000500
56,0.643029,0.970243,0.723730,0.943723,0.000500
57,0.654709,0.964833,0.731459,0.943723,0.000500
58,0.640117,0.979261,0.742163,0.952381,0.000500
59,0.674955,0.959423,0.900724,0.870130,0.000500
60,0.711958,0.945897,0.747428,0.930736,0.000500
61,0.652500,0.965735,0.737876,0.948052,0.000250
62,0.626876,0.976555,0.683950,0.956710,0.000250
63,0.587017,0.994590,0.684083,0.961039,0.000250
64,0.607905,0.984671,0.676920,0.961039,0.000250
65,0.619458,0.981966,0.690275,0.969697,0.000250
66,0.602327,0.980162,0.714766,0.956710,0.000250
67,0.593544,0.990983,0.699057,0.956710,0.000250
68,0.592670,0.988278,0.672048,0.956710,0.000250
69,0.620524,0.981966,0.676899,0.961039,0.000250
70,0.598651,0.985573,0.698660,0.956710,0.000250
71,0.602422,0.979261,0.713740,0.948052,0.000250
72,0.592400,0.985573,0.677376,0.961039,0.000250
73,0.596366,0.981966,0.676133,0.948052,0.000250
74,0.587711,0.987376,0.688842,0.943723,0.000250
75,0.590698,0.989179,0.697947,0.948052,0.000250
76,0.575811,0.990983,0.723025,0.943723,0.000125
77,0.575534,0.990081,0.666666,0.952381,0.000125
78,0.574136,0.990081,0.693007,0.948052,0.000125
79,0.570796,0.988278,0.674576,0.952381,0.000125
80,0.568022,0.992786,0.669837,0.969697,0.000125
81,0.564282,0.992786,0.671971,0.956710,0.000125
82,0.561097,0.992786,0.667814,0.956710,0.000125
83,0.557474,0.996393,0.665558,0.969697,0.000125
84,0.557927,0.996393,0.661914,0.956710,0.000125
85,0.561184,0.993688,0.665732,0.969697,0.000125
86,0.557387,0.998197,0.665274,0.965368,0.000125
87,0.566991,0.987376,0.711750,0.952381,0.000125
88,0.554090,0.996393,0.661173,0.952381,0.000125
89,0.560778,0.993688,0.678888,0.952381,0.000125
90,0.549427,0.996393,0.667682,0.952381,0.000125
91,0.561105,0.990983,0.683618,0.952381,0.000125
92,0.550333,0.996393,0.670521,0.956710,0.000125
93,0.556289,0.991885,0.672199,0.948052,0.000125
94,0.556969,0.995491,0.683663,0.943723,0.000125
95,0.551269,0.996393,0.692786,0.948052,0.000125
96,0.542888,0.998197,0.683972,0.948052,0.000063
97,0.542766,0.997295,0.673859,0.952381,0.000063
98,0.537075,0.999098,0.672997,0.952381,0.000063
99,0.539144,0.998197,0.670721,0.956710,0.000063
100,0.538263,0.999098,0.680441,0.943723,0.000063
101,0.540735,0.995491,0.672707,0.952381,0.000063
102,0.545854,0.994590,0.671949,0.952381,0.000063
103,0.540221,0.997295,0.674532,0.956710,0.000063
104,0.542799,0.997295,0.667385,0.961039,0.000031
105,0.536911,0.999098,0.648515,0.961039,0.000031
106,0.534550,1.000000,0.651230,0.961039,0.000031
107,0.531441,0.999098,0.662065,0.961039,0.000031
108,0.530421,1.000000,0.659861,0.961039,0.000031
109,0.529336,0.999098,0.661658,0.956710,0.000031
110,0.529200,0.999098,0.651348,0.956710,0.000031
111,0.533173,0.999098,0.645192,0.961039,0.000031
112,0.537770,0.997295,0.649747,0.956710,0.000031
113,0.531018,0.999098,0.647531,0.956710,0.000031
114,0.532055,0.999098,0.650165,0.956710,0.000031
115,0.533976,0.998197,0.649397,0.952381,0.000031
