epoch,phase,train_loss,train_acc,val_loss,val_acc,lr
1,Phase 1 (Frozen),1.5185500841422621,0.35283251231527096,1.300475158933866,0.4938337801608579,0.0005
2,Phase 1 (Frozen),1.4026468281675442,0.42841748768472904,1.2661489975654472,0.5109919571045577,0.0005
3,Phase 1 (Frozen),1.3709357559974558,0.44735221674876846,1.2371371166180756,0.5281501340482574,0.0005
4,Phase 1 (Frozen),1.3336339114334783,0.47613916256157635,1.229768987429344,0.5335120643431636,0.0005
5,Phase 1 (Frozen),1.3303275255146871,0.47398399014778325,1.206137982465453,0.5399463806970509,0.0005
6,Phase 1 (Frozen),1.319947337282115,0.47998768472906406,1.2030929852340182,0.5447721179624665,0.0005
7,Phase 1 (Frozen),1.313168821663692,0.4849137931034483,1.2012658048484286,0.5463806970509384,0.0005
8,Phase 1 (Frozen),1.3010631312290435,0.4952278325123153,1.1945198390443446,0.5581769436997319,0.0005
9,Phase 1 (Frozen),1.3016557487948188,0.4973830049261084,1.192327851966276,0.5538873994638069,0.0005
10,Phase 1 (Frozen),1.293052808404556,0.500307881773399,1.1922963433346505,0.5522788203753352,0.0005
11,Phase 1 (Frozen),1.2793885222796737,0.510006157635468,1.1909014602838937,0.5485254691689008,0.0005
12,Phase 1 (Frozen),1.2752721121745745,0.5149322660098522,1.1842422960168224,0.55656836461126,0.0005
13,Phase 1 (Frozen),1.2749311371977106,0.5112376847290641,1.179864400524204,0.5576407506702413,0.0005
14,Phase 1 (Frozen),1.285553178763742,0.4981527093596059,1.1826642034417492,0.5538873994638069,0.0005
15,Phase 1 (Frozen),1.2613715279865734,0.5217056650246306,1.1785528275926234,0.5533512064343163,0.0005
1,Phase 2 (Fine-tune),1.2569679808734087,0.5187807881773399,1.1784088753037534,0.5538873994638069,5e-05
2,Phase 2 (Fine-tune),1.264337377007959,0.5229371921182266,1.176280406572051,0.5592493297587131,5e-05
3,Phase 2 (Fine-tune),1.2674244474894896,0.5153940886699507,1.1735156228986836,0.5571045576407506,5e-05
4,Phase 2 (Fine-tune),1.2591924438335624,0.5255541871921182,1.1740942072060148,0.5603217158176944,5e-05
5,Phase 2 (Fine-tune),1.257399881414592,0.5269396551724138,1.1730392292394476,0.5576407506702413,5e-05
6,Phase 2 (Fine-tune),1.2533032160087172,0.5169334975369458,1.174065663652905,0.55656836461126,5e-05
7,Phase 2 (Fine-tune),1.248641093082616,0.5304802955665024,1.1716695306664806,0.5581769436997319,5e-05
8,Phase 2 (Fine-tune),1.2573775193961383,0.5161637931034483,1.1719749913377278,0.5592493297587131,5e-05
9,Phase 2 (Fine-tune),1.2509310251386294,0.5227832512315271,1.1697275194071106,0.5624664879356568,5e-05
10,Phase 2 (Fine-tune),1.243315002013897,0.5326354679802956,1.1718570590019226,0.5587131367292225,5e-05
11,Phase 2 (Fine-tune),1.2492000404837096,0.5266317733990148,1.1711523997581612,0.5603217158176944,5e-05
12,Phase 2 (Fine-tune),1.245793401901358,0.53125,1.1679751832606429,0.5640750670241287,5e-05
13,Phase 2 (Fine-tune),1.2435146890250333,0.5320197044334976,1.1680856922925529,0.5646112600536193,5e-05
14,Phase 2 (Fine-tune),1.2437640675183,0.5280172413793104,1.165825259887566,0.5662198391420912,5e-05
15,Phase 2 (Fine-tune),1.2433981372805065,0.53125,1.166984423742456,0.5689008042895443,5e-05
16,Phase 2 (Fine-tune),1.242733378715703,0.5272475369458128,1.166679541943437,0.570509383378016,5e-05
17,Phase 2 (Fine-tune),1.2428086717140499,0.531865763546798,1.168407263392109,0.5640750670241287,5e-05
18,Phase 2 (Fine-tune),1.2429175453233015,0.5349445812807881,1.1647104812880693,0.5689008042895443,5e-05
