epoch,phase,train_loss,train_acc,val_loss,val_acc,lr
1,Phase 1 (Frozen),1.481914539055284,0.37330665024630544,1.298293790574801,0.5024128686327077,0.0001994549285891432
2,Phase 1 (Frozen),1.3193762719337576,0.4873768472906404,1.2395733069565336,0.5394101876675603,0.00019782568627301367
3,Phase 1 (Frozen),1.2723633368027034,0.5197044334975369,1.2050523495270034,0.5592493297587131,0.0001951301233713678
4,Phase 1 (Frozen),1.2350538695974302,0.541871921182266,1.189111987412986,0.5592493297587131,0.00019139777303543877
5,Phase 1 (Frozen),1.2124092825527848,0.5489532019704434,1.1790861406568753,0.5635388739946381,0.00018666952767655166
6,Phase 1 (Frozen),1.189557344455437,0.5703509852216748,1.170176509073225,0.574798927613941,0.00018099719094030728
7,Phase 1 (Frozen),1.1683641651581074,0.5826662561576355,1.1850866311687533,0.5640750670241287,0.00017444291013500072
8,Phase 1 (Frozen),1.171896287960372,0.5814347290640394,1.1657105017516574,0.5758713136729222,0.0001670784953327064
9,Phase 1 (Frozen),1.1399690356160619,0.5951354679802956,1.1536494261127408,0.5774798927613941,0.0001589846326031011
10,Phase 1 (Frozen),1.1336465536667208,0.6054495073891626,1.1631844649880618,0.5742627345844504,0.00015025000000000002
11,Phase 1 (Frozen),1.1311632462323005,0.5999076354679803,1.1581358444892753,0.5726541554959785,0.00014097029598604215
12,Phase 1 (Frozen),1.1245457685639706,0.6049876847290641,1.1524799546952975,0.5769436997319035,0.00013124719094030727
13,Phase 1 (Frozen),1.1036690359045132,0.624692118226601,1.1529470874091325,0.5796246648793566,0.00012118721323636704
14,Phase 1 (Frozen),1.095331268063907,0.6259236453201971,1.1545085856470012,0.5753351206434316,0.00011090058209513153
15,Phase 1 (Frozen),1.0990668044888914,0.6188423645320197,1.1537235550961251,0.567828418230563,0.00010050000000000003
1,Phase 2 (Fine-tune),1.0689201774855552,0.6374692118226601,1.1357999807697232,0.5812332439678284,1.9947958005998597e-05
2,Phase 2 (Fine-tune),1.0598411357461526,0.6497844827586207,1.1268320174540503,0.5801608579088472,1.9792402206971155e-05
3,Phase 2 (Fine-tune),1.0502117384830718,0.6585591133004927,1.1100500781657332,0.5989276139410188,1.9535036904803962e-05
4,Phase 2 (Fine-tune),1.0481095886582812,0.6567118226600985,1.104690427497282,0.5967828418230563,1.917868184760471e-05
5,Phase 2 (Fine-tune),1.0240155464322696,0.667179802955665,1.096283580287028,0.5983914209115282,1.872724133595217e-05
6,Phase 2 (Fine-tune),1.0206610052456409,0.6725677339901478,1.085487154580779,0.606970509383378,1.8185661446562e-05
7,Phase 2 (Fine-tune),1.007731167260062,0.676878078817734,1.0789353938426,0.6155495978552279,1.7559875842035246e-05
