epoch,phase,train_loss,train_acc,val_loss,val_acc,lr
1,Phase 1 (Frozen),1.6020147042908692,0.2883312807881773,1.4823017847740043,0.36621983914209116,0.0009960612933065818
2,Phase 1 (Frozen),1.5338800088525406,0.3471366995073892,1.4046949835146887,0.4268096514745308,0.0009843072889837512
3,Phase 1 (Frozen),1.5185984490540227,0.35314039408866993,1.4374775805715787,0.4107238605898123,0.0009649233547011816
4,Phase 1 (Frozen),1.5202699823332537,0.35929802955665024,1.3944503978147345,0.439142091152815,0.0009382151866819099
5,Phase 1 (Frozen),1.5097250797478436,0.3634544334975369,1.3937753701614122,0.43056300268096515,0.0009046039886902864
6,Phase 1 (Frozen),1.5147482820332343,0.3626847290640394,1.3852271043648154,0.4509383378016086,0.0008646198293969952
7,Phase 1 (Frozen),1.4994398226291674,0.3686884236453202,1.4039783134298809,0.432171581769437,0.0008188932828794706
8,Phase 1 (Frozen),1.5067009955204178,0.36191502463054187,1.3829826601481034,0.44664879356568365,0.0007681454840920089
9,Phase 1 (Frozen),1.4988013265168139,0.36976600985221675,1.3877764334112912,0.44718498659517425,0.0007131767561367538
10,Phase 1 (Frozen),1.499323699274674,0.36607142857142855,1.4124338283377178,0.425201072386059,0.0006548539886902864
11,Phase 1 (Frozen),1.5019567365129594,0.3682266009852217,1.395817681894464,0.43324396782841823,0.0005940969666355697
12,Phase 1 (Frozen),1.4927137497023408,0.3666871921182266,1.382102808709872,0.42734584450402147,0.0005318638645048922
13,Phase 1 (Frozen),1.485642106662243,0.37346059113300495,1.3892605991686804,0.4477211796246649,0.00046913613549510807
14,Phase 1 (Frozen),1.489660722868783,0.3703817733990148,1.3945740501759416,0.44664879356568365,0.00040690303336443065
15,Phase 1 (Frozen),1.4775497097099943,0.38377463054187194,1.3802775932570635,0.4605898123324397,0.000346146011309714
1,Phase 2 (Fine-tune),1.4522746431416478,0.39716748768472904,1.3342800261610646,0.4815013404825737,9.960967771506667e-05
2,Phase 2 (Fine-tune),1.4189360758353924,0.41948891625615764,1.295970740964857,0.5072386058981233,9.844486647586725e-05
3,Phase 2 (Fine-tune),1.391012991003215,0.44057881773399016,1.2675882779945762,0.5211796246648793,9.652393605146844e-05
4,Phase 2 (Fine-tune),1.3686597288535733,0.45982142857142855,1.2549063351194738,0.5249329758713137,9.387718066217124e-05
5,Phase 2 (Fine-tune),1.3406005190511054,0.4665948275862069,1.2378901303824732,0.542627345844504,9.05463412215599e-05
6,Phase 2 (Fine-tune),1.3307809436262534,0.4789100985221675,1.2293784860837258,0.5463806970509384,8.658394705735987e-05
7,Phase 2 (Fine-tune),1.3059366618471193,0.48891625615763545,1.2111614861730802,0.5651474530831099,8.205248749256015e-05
8,Phase 2 (Fine-tune),1.2898191683398093,0.5036945812807881,1.1992663134962827,0.5710455764075067,7.702342635146033e-05
9,Phase 2 (Fine-tune),1.2852920675512605,0.49953817733990147,1.1951597817873552,0.5619302949061662,7.15760749324711e-05
10,Phase 2 (Fine-tune),1.2794690960146524,0.5061576354679803,1.1830283352884197,0.5801608579088472,6.57963412215599e-05
11,Phase 2 (Fine-tune),1.264574451986792,0.5160098522167488,1.175439145605443,0.5796246648793566,5.977537507199338e-05
12,Phase 2 (Fine-tune),1.2538460017425086,0.5278633004926109,1.1705838492361165,0.5865951742627346,5.360813071670102e-05
13,Phase 2 (Fine-tune),1.2591418738435642,0.5210899014778325,1.1643839832079612,0.5823056300268097,4.739186928329899e-05
14,Phase 2 (Fine-tune),1.245398774816485,0.5320197044334976,1.1619841618052984,0.5839142091152815,4.122462492800663e-05
15,Phase 2 (Fine-tune),1.2317955587885063,0.5380233990147784,1.1563737624782626,0.5892761394101876,3.520365877844012e-05
16,Phase 2 (Fine-tune),1.2375987433447626,0.5391009852216748,1.154869431156223,0.5892761394101876,2.9423925067528905e-05
17,Phase 2 (Fine-tune),1.2318903292928423,0.5377155172413793,1.1501292111509938,0.5892761394101876,2.3976573648539656e-05
18,Phase 2 (Fine-tune),1.221873212917685,0.5446428571428571,1.1480860952603615,0.5865951742627346,1.8947512507439858e-05
19,Phase 2 (Fine-tune),1.2175792799207377,0.5447967980295566,1.1474226036314237,0.5935656836461126,1.441605294264014e-05
20,Phase 2 (Fine-tune),1.2067710601637516,0.552801724137931,1.144782789682938,0.5914209115281501,1.0453658778440109e-05
21,Phase 2 (Fine-tune),1.2145679983599433,0.5489532019704434,1.1423842856439494,0.5941018766756032,7.122819337828753e-06
22,Phase 2 (Fine-tune),1.2047824248891745,0.5481834975369458,1.1385545467926284,0.5962466487935657,4.476063948531558e-06
23,Phase 2 (Fine-tune),1.2010772146027664,0.5503386699507389,1.143162144442736,0.5967828418230563,2.5551335241327673e-06
24,Phase 2 (Fine-tune),1.203569024360826,0.5543411330049262,1.1410476444131237,0.5946380697050938,1.3903222849333507e-06
25,Phase 2 (Fine-tune),1.1965099966584756,0.5555726600985221,1.1386107903415874,0.5935656836461126,0.0001
26,Phase 2 (Fine-tune),1.2024145223237024,0.5484913793103449,1.1385441341642606,0.5903485254691689,9.990232305719945e-05
27,Phase 2 (Fine-tune),1.1947821293558394,0.562192118226601,1.1319593676065995,0.5919571045576407,9.960967771506667e-05
