epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.530034,0.152390,2.147763,0.277056,0.000200
2,2.188031,0.299369,1.894795,0.463203,0.000400
3,1.872631,0.394049,2.397763,0.497835,0.000600
4,1.765009,0.423805,1.775421,0.471861,0.000800
5,1.680851,0.457169,1.761615,0.463203,0.001000
6,1.644911,0.479711,2.088231,0.515152,0.001200
7,1.608681,0.478810,1.616440,0.502165,0.001400
8,1.550308,0.507665,1.179387,0.632035,0.001600
9,1.480906,0.531109,1.554421,0.588745,0.001800
10,1.465270,0.550045,1.348762,0.610390,0.002000
11,1.442866,0.546438,1.097867,0.675325,0.002000
12,1.233296,0.652840,1.400878,0.627706,0.002000
13,1.227516,0.653742,1.175731,0.727273,0.002000
14,1.170490,0.680794,0.868108,0.800866,0.002000
15,1.097345,0.706041,1.013644,0.774892,0.002000
16,1.115163,0.712353,1.522926,0.731602,0.002000
17,1.114281,0.679892,0.864582,0.783550,0.002000
18,1.020808,0.727683,1.047191,0.809524,0.002000
19,0.994193,0.743913,0.900122,0.792208,0.002000
20,0.990476,0.746619,0.725758,0.874459,0.002000
21,0.955335,0.757439,0.922056,0.800866,0.002000
22,0.910543,0.768260,0.806128,0.835498,0.002000
23,0.887863,0.787196,0.664709,0.896104,0.002000
24,0.910845,0.781785,1.130819,0.792208,0.002000
25,0.882153,0.771867,0.711793,0.883117,0.002000
26,0.841334,0.801623,0.788564,0.844156,0.002000
27,0.843061,0.809739,0.778143,0.887446,0.002000
28,0.896257,0.783589,0.663296,0.913420,0.002000
29,0.847623,0.807935,1.293177,0.766234,0.002000
30,0.771175,0.833183,0.783544,0.891775,0.002000
31,0.762490,0.845807,0.720271,0.852814,0.002000
32,0.794207,0.817854,0.644660,0.891775,0.002000
33,0.750352,0.827773,0.700361,0.861472,0.002000
34,0.748318,0.846709,1.278538,0.774892,0.002000
35,0.822221,0.822362,0.727379,0.857143,0.002000
36,0.786430,0.836790,0.683613,0.900433,0.002000
37,0.683854,0.861136,0.698238,0.904762,0.002000
38,0.747245,0.838593,0.732851,0.909091,0.002000
39,0.793118,0.828674,0.663256,0.926407,0.002000
40,0.739071,0.838593,1.284648,0.770563,0.001000
41,0.655675,0.880072,0.598945,0.926407,0.001000
42,0.549724,0.918846,0.634326,0.930736,0.001000
43,0.524115,0.930568,0.580817,0.956710,0.001000
44,0.573975,0.908025,0.612399,0.943723,0.001000
45,0.540369,0.928765,0.552293,0.956710,0.001000
46,0.546417,0.926961,0.581911,0.939394,0.001000
47,0.527315,0.927863,0.536794,0.965368,0.001000
48,0.500099,0.938683,0.567053,0.939394,0.001000
49,0.516305,0.936880,0.565706,0.939394,0.001000
50,0.517137,0.933273,0.589328,0.922078,0.001000
51,0.526524,0.929666,0.622221,0.939394,0.001000
52,0.560620,0.915239,0.590067,0.930736,0.001000
53,0.530934,0.930568,0.572759,0.943723,0.001000
54,0.539213,0.919748,0.639697,0.943723,0.001000
55,0.499273,0.934175,0.669871,0.909091,0.000500
56,0.493844,0.946799,0.560921,0.943723,0.000500
57,0.467652,0.955816,0.553603,0.952381,0.000500
58,0.448442,0.955816,0.562627,0.965368,0.000500
59,0.434883,0.969342,0.566159,0.930736,0.000500
60,0.488195,0.947701,0.569990,0.935065,0.000500
61,0.457542,0.954013,0.499217,0.943723,0.000500
62,0.451567,0.956718,0.550409,0.952381,0.000500
63,0.441267,0.968440,0.541060,0.943723,0.000500
64,0.423490,0.972047,0.642542,0.935065,0.000500
65,0.456018,0.957619,0.629918,0.930736,0.000500
66,0.426489,0.974752,0.511321,0.952381,0.000500
67,0.450435,0.958521,0.548348,0.930736,0.000500
