epoch,train_loss,val_map50,val_map50_95,precision,recall,true_positives,false_positives,false_negatives,lr
79,0.5697,0.0715,0.0429,0.0723,0.9890,1253,16080,14,0.010000
80,0.5599,0.0776,0.0466,0.0783,0.9913,1256,14786,11,0.010000
81,0.5593,0.0750,0.0450,0.0759,0.9874,1251,15221,16,0.010000
82,0.5495,0.0757,0.0454,0.0766,0.9882,1252,15087,15,0.010000
83,0.5459,0.0776,0.0465,0.0783,0.9913,1256,14793,11,0.010000
84,0.5381,0.0736,0.0441,0.0743,0.9897,1254,15620,13,0.010000
85,0.5322,0.0764,0.0458,0.0772,0.9897,1254,14997,13,0.010000
86,0.5298,0.0746,0.0448,0.0754,0.9890,1253,15360,14,0.010000
87,0.5243,0.0724,0.0434,0.0733,0.9874,1251,15808,16,0.010000
88,0.5180,0.0730,0.0438,0.0738,0.9897,1254,15741,13,0.010000
89,0.5129,0.0736,0.0441,0.0745,0.9882,1252,15564,15,0.010000
90,0.5125,0.0729,0.0438,0.0738,0.9882,1252,15713,15,0.010000
91,0.5085,0.0754,0.0452,0.0763,0.9874,1251,15138,16,0.010000
92,0.5018,0.0755,0.0453,0.0767,0.9842,1247,15011,20,0.010000
93,0.4999,0.0726,0.0435,0.0733,0.9897,1254,15849,13,0.010000
94,0.4927,0.0744,0.0447,0.0753,0.9890,1253,15393,14,0.010000
95,0.4878,0.0709,0.0425,0.0719,0.9858,1249,16115,18,0.010000
