epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.462563,0.128043,2.250234,0.168831,0.000050
2,2.387063,0.157800,1.991930,0.346320,0.000100
3,2.106239,0.298467,1.788204,0.445887,0.000150
4,1.920887,0.381425,1.853961,0.493506,0.000200
5,1.844627,0.416592,1.575654,0.554113,0.000250
6,1.713727,0.474301,1.545811,0.554113,0.000300
7,1.697312,0.489630,1.391112,0.670996,0.000350
8,1.604328,0.546438,1.422964,0.593074,0.000400
9,1.562216,0.542831,1.227344,0.714286,0.000450
10,1.496193,0.591524,1.443756,0.722944,0.000500
11,1.393633,0.632101,1.205022,0.718615,0.000500
12,1.327951,0.659152,1.485074,0.692641,0.000500
13,1.332127,0.674482,1.373570,0.709957,0.000500
14,1.235140,0.697926,0.905258,0.874459,0.000500
15,1.198076,0.725879,0.949176,0.835498,0.000500
16,1.189939,0.713255,0.923418,0.831169,0.000500
17,1.099925,0.770965,0.927779,0.848485,0.000500
18,1.058740,0.761948,1.008799,0.818182,0.000500
19,1.068429,0.782687,0.898629,0.865801,0.000500
20,1.065264,0.774572,0.959438,0.835498,0.000500
21,1.024756,0.797115,1.063260,0.805195,0.000500
22,0.993310,0.825068,0.941506,0.844156,0.000500
23,0.966610,0.820559,0.869543,0.887446,0.000500
24,0.982563,0.819657,0.863219,0.874459,0.000500
25,0.960596,0.837692,0.861341,0.887446,0.000500
26,0.912819,0.847610,0.867734,0.870130,0.000500
27,0.868951,0.866546,0.855308,0.917749,0.000500
28,0.929273,0.835888,1.108842,0.787879,0.000500
29,0.891808,0.855726,0.985316,0.839827,0.000500
30,0.869472,0.870153,0.882909,0.870130,0.000500
31,0.888978,0.863841,1.017557,0.883117,0.000500
32,0.881140,0.872858,0.811598,0.930736,0.000500
33,0.828228,0.889089,0.912926,0.878788,0.000500
34,0.845624,0.883679,0.819346,0.926407,0.000500
35,0.829157,0.889991,0.956595,0.865801,0.000500
36,0.824389,0.895401,0.861266,0.896104,0.000500
37,0.854308,0.863841,0.903862,0.904762,0.000500
38,0.799590,0.898106,0.811857,0.922078,0.000500
39,0.784970,0.908025,0.799145,0.922078,0.000500
40,0.837421,0.878269,0.827310,0.926407,0.000500
41,0.803291,0.893598,0.821254,0.904762,0.000500
42,0.785889,0.906222,0.842458,0.887446,0.000500
43,0.733716,0.927863,0.845828,0.909091,0.000500
44,0.756796,0.921551,0.783239,0.913420,0.000500
45,0.772536,0.910730,0.897280,0.904762,0.000500
46,0.786902,0.910730,0.829723,0.900433,0.000500
47,0.779197,0.916141,0.817101,0.913420,0.000500
48,0.790135,0.911632,0.977451,0.870130,0.000500
49,0.800733,0.903517,0.824916,0.930736,0.000500
50,0.742993,0.929666,0.827954,0.917749,0.000500
51,0.756101,0.921551,0.777351,0.926407,0.000500
52,0.744611,0.930568,0.871102,0.913420,0.000500
