epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.493572,0.119026,2.198640,0.233766,0.000100
2,2.362203,0.189360,2.312123,0.329004,0.000200
3,2.073034,0.342651,2.325118,0.372294,0.000300
4,1.973738,0.377818,1.672477,0.558442,0.000400
5,1.904812,0.413886,1.645699,0.541126,0.000500
6,1.787591,0.490532,1.500578,0.636364,0.000600
7,1.679409,0.536519,5.051684,0.541126,0.000700
8,1.671892,0.533814,1.819510,0.584416,0.000800
9,1.554508,0.596934,1.782986,0.683983,0.000900
10,1.608533,0.574391,1.413700,0.675325,0.001000
11,1.567853,0.589720,4.347813,0.619048,0.001000
12,1.510918,0.636610,1.361104,0.727273,0.001000
13,1.438832,0.665464,1.283977,0.722944,0.001000
14,1.474201,0.651037,1.297078,0.744589,0.001000
15,1.355055,0.699729,1.255183,0.826840,0.001000
16,1.288980,0.748422,1.242535,0.835498,0.001000
17,1.324450,0.712353,1.151147,0.839827,0.001000
18,1.253672,0.756537,1.204658,0.796537,0.001000
19,1.268392,0.745717,1.102287,0.852814,0.001000
20,1.196624,0.795311,1.455459,0.783550,0.001000
21,1.173751,0.798016,1.036697,0.900433,0.001000
22,1.207143,0.785392,1.144978,0.844156,0.001000
23,1.128325,0.816050,1.288102,0.865801,0.001000
24,1.127243,0.825068,1.411616,0.839827,0.001000
25,1.125918,0.820559,3.679033,0.774892,0.001000
26,1.100940,0.843102,1.045596,0.909091,0.001000
27,1.127314,0.816952,1.019684,0.926407,0.001000
28,1.158774,0.814247,1.151286,0.805195,0.001000
29,1.069800,0.851217,1.057711,0.900433,0.001000
30,1.061369,0.865645,1.031734,0.904762,0.001000
31,1.026090,0.871957,1.005977,0.878788,0.001000
32,1.017942,0.873760,0.984861,0.913420,0.001000
33,1.023940,0.866546,1.068741,0.878788,0.001000
34,1.038424,0.858431,1.069200,0.917749,0.001000
35,1.012567,0.879170,0.985241,0.930736,0.001000
36,1.061963,0.859333,1.128475,0.865801,0.001000
37,1.011541,0.883679,1.000411,0.930736,0.001000
38,1.008277,0.893598,1.117684,0.861472,0.001000
39,1.028778,0.872858,0.991173,0.930736,0.001000
40,0.995859,0.880072,1.040783,0.917749,0.000500
41,0.907924,0.937782,0.919182,0.965368,0.000500
42,0.890610,0.943192,0.939399,0.952381,0.000500
43,0.877162,0.955816,0.922722,0.939394,0.000500
44,0.883180,0.948602,0.932392,0.930736,0.000500
45,0.888005,0.935978,0.953866,0.939394,0.000500
46,0.884936,0.944995,0.912325,0.948052,0.000500
47,0.862821,0.949504,0.917108,0.935065,0.000500
48,0.860646,0.955816,0.919968,0.939394,0.000500
49,0.865930,0.961226,0.903793,0.952381,0.000500
50,0.872887,0.947701,0.933264,0.926407,0.000500
51,0.872236,0.949504,0.927820,0.935065,0.000500
52,0.851467,0.957619,0.910491,0.943723,0.000500
53,0.851695,0.964833,0.904402,0.956710,0.000500
54,0.860455,0.954914,0.878165,0.952381,0.000500
55,0.840146,0.963030,0.956821,0.939394,0.000500
56,0.823719,0.974752,0.961437,0.935065,0.000500
57,0.840379,0.963030,0.923779,0.952381,0.000500
58,0.858408,0.956718,0.886059,0.965368,0.000500
59,0.846938,0.958521,0.905129,0.948052,0.000500
60,0.855477,0.955816,0.926572,0.939394,0.000500
61,0.869742,0.945897,0.900188,0.943723,0.000500
