epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.322469,0.201984,1.881181,0.445887,0.000020
2,1.767724,0.430117,1.424837,0.619048,0.000040
3,1.413469,0.624887,1.353703,0.714286,0.000060
4,1.290782,0.680794,1.266174,0.727273,0.000080
5,1.166655,0.743012,1.207668,0.744589,0.000100
6,1.079332,0.791704,1.073077,0.787879,0.000100
7,1.019444,0.811542,1.117479,0.848485,0.000100
8,0.954074,0.829576,1.161496,0.835498,0.000100
9,0.925038,0.838593,1.189459,0.809524,0.000100
10,0.877346,0.884581,1.007210,0.822511,0.000100
11,0.858949,0.889991,0.888923,0.891775,0.000100
12,0.806259,0.912534,1.084269,0.805195,0.000100
13,0.772917,0.921551,1.071841,0.813853,0.000100
14,0.740295,0.951307,1.065343,0.809524,0.000100
15,0.726862,0.958521,1.288929,0.809524,0.000100
16,0.737807,0.938683,0.984848,0.831169,0.000100
17,0.699529,0.968440,0.861145,0.926407,0.000100
18,0.696183,0.957619,0.961737,0.870130,0.000100
19,0.678620,0.970243,0.858914,0.904762,0.000100
20,0.667620,0.968440,0.808790,0.926407,0.000100
21,0.641923,0.984671,0.921237,0.878788,0.000100
22,0.625789,0.992786,0.792256,0.956710,0.000100
23,0.639766,0.988278,0.954916,0.861472,0.000100
24,0.635033,0.989179,0.882759,0.896104,0.000100
25,0.614694,0.990983,0.811241,0.909091,0.000100
26,0.630337,0.979261,0.812433,0.909091,0.000100
27,0.606411,0.993688,0.798257,0.922078,0.000100
28,0.603965,0.996393,0.842832,0.909091,0.000100
29,0.608218,0.991885,0.765561,0.939394,0.000100
30,0.615284,0.990983,0.791742,0.922078,0.000100
31,0.605372,0.991885,0.828511,0.922078,0.000100
32,0.602752,0.992786,0.917785,0.917749,0.000100
33,0.607541,0.993688,0.991499,0.831169,0.000100
34,0.605327,0.990081,0.831744,0.900433,0.000100
35,0.581224,1.000000,0.854452,0.913420,0.000100
36,0.591814,0.994590,0.847617,0.917749,0.000100
37,0.577404,1.000000,0.772611,0.939394,0.000050
38,0.572027,0.998197,0.750974,0.952381,0.000050
39,0.562484,1.000000,0.730832,0.948052,0.000050
40,0.564797,0.999098,0.742313,0.930736,0.000050
41,0.573432,0.998197,0.738308,0.939394,0.000050
42,0.579327,0.999098,0.782796,0.926407,0.000050
43,0.565202,0.999098,0.767681,0.926407,0.000050
44,0.560111,1.000000,0.739843,0.930736,0.000050
45,0.553440,1.000000,0.768971,0.930736,0.000050
46,0.554487,0.999098,0.783025,0.922078,0.000050
47,0.557405,1.000000,0.784601,0.926407,0.000025
48,0.556618,1.000000,0.723673,0.952381,0.000025
49,0.550109,1.000000,0.745846,0.943723,0.000025
50,0.557297,0.998197,0.730077,0.943723,0.000025
51,0.549619,1.000000,0.744204,0.935065,0.000025
52,0.549721,1.000000,0.734462,0.930736,0.000025
53,0.546304,1.000000,0.746767,0.922078,0.000025
54,0.545470,1.000000,0.711313,0.952381,0.000025
55,0.550578,1.000000,0.740088,0.939394,0.000025
56,0.546329,1.000000,0.746101,0.948052,0.000025
57,0.550028,1.000000,0.748279,0.948052,0.000025
58,0.546432,1.000000,0.727818,0.930736,0.000025
59,0.553331,0.998197,0.730605,0.939394,0.000025
60,0.544017,0.999098,0.730312,0.948052,0.000025
61,0.546182,1.000000,0.711160,0.948052,0.000025
62,0.548764,1.000000,0.745080,0.930736,0.000025
63,0.547857,1.000000,0.732689,0.930736,0.000025
64,0.543814,1.000000,0.739120,0.952381,0.000025
65,0.547639,1.000000,0.741111,0.939394,0.000025
66,0.544544,1.000000,0.751614,0.948052,0.000025
67,0.546009,1.000000,0.733240,0.943723,0.000025
68,0.542386,1.000000,0.725317,0.948052,0.000025
69,0.544038,0.999098,0.736025,0.930736,0.000013
70,0.548106,1.000000,0.718355,0.952381,0.000013
71,0.541844,1.000000,0.734090,0.948052,0.000013
72,0.540865,1.000000,0.739772,0.943723,0.000013
