epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1873.46,0.96078,0.56765,0.8871,0.838,0.84632,0.88573,0.65418,0.79632,0.49276,0.79237,0.000477536,0.000477536,0.000477536
43,1916.44,0.97333,0.56981,0.89133,0.84653,0.8342,0.8833,0.6539,0.81736,0.49822,0.79359,0.000476445,0.000476445,0.000476445
44,1960.17,0.97095,0.56147,0.88674,0.84814,0.8443,0.88928,0.65325,0.81055,0.48037,0.79127,0.000475329,0.000475329,0.000475329
45,2003.65,0.96324,0.55525,0.88372,0.84543,0.83605,0.88613,0.651,0.80452,2.11755,0.79204,0.000474189,0.000474189,0.000474189
46,2046.91,0.96704,0.55869,0.88759,0.82948,0.8712,0.89914,0.67343,0.78904,0.60501,0.78749,0.000473024,0.000473024,0.000473024
47,2091.88,0.95425,0.554,0.88335,0.85771,0.849,0.90239,0.66863,0.80376,0.83761,0.79018,0.000471835,0.000471835,0.000471835
48,2135.56,0.9732,0.5541,0.87755,0.86513,0.85068,0.9042,0.66581,0.80838,0.56032,0.79294,0.000470623,0.000470623,0.000470623
49,2178.85,0.98009,0.55685,0.88956,0.84487,0.86112,0.90206,0.658,0.84406,0.64547,0.7999,0.000469386,0.000469386,0.000469386
50,2222.1,0.97098,0.55488,0.88729,0.86067,0.85328,0.90212,0.67314,0.79528,0.48437,0.79023,0.000468125,0.000468125,0.000468125
51,2265.15,0.97038,0.5651,0.8862,0.83538,0.85726,0.89009,0.66082,0.80371,1.06775,0.79018,0.000466841,0.000466841,0.000466841
52,2308.84,0.96881,0.56711,0.88407,0.84931,0.85375,0.8979,0.66961,0.78858,0.51482,0.78816,0.000465534,0.000465534,0.000465534
53,2352.08,0.95819,0.56198,0.88263,0.86282,0.86172,0.90783,0.67924,0.78522,0.71392,0.78586,0.000464203,0.000464203,0.000464203
54,2397.22,0.95907,0.54984,0.88055,0.8517,0.84014,0.88252,0.65588,0.80239,0.67448,0.79207,0.000462848,0.000462848,0.000462848
55,2440.49,0.94603,0.54432,0.87851,0.86174,0.86779,0.91319,0.6892,0.77354,0.50727,0.78301,0.000461471,0.000461471,0.000461471
56,2484.9,0.95687,0.53782,0.88123,0.86977,0.87048,0.91621,0.67617,0.79442,0.48673,0.78802,0.000460071,0.000460071,0.000460071
57,2528.63,0.95234,0.54351,0.88467,0.86754,0.86061,0.90665,0.67548,0.81076,0.54879,0.79352,0.000458648,0.000458648,0.000458648
58,2571.43,0.94083,0.54051,0.8792,0.85077,0.85296,0.90413,0.67383,0.7921,0.46113,0.78606,0.000457202,0.000457202,0.000457202
59,2614.97,0.9504,0.5306,0.87617,0.87551,0.86547,0.92138,0.68933,0.78915,0.82304,0.78588,0.000455734,0.000455734,0.000455734
60,2659.49,0.94687,0.5314,0.88427,0.88182,0.86608,0.91971,0.69144,0.79056,0.61667,0.7861,0.000454244,0.000454244,0.000454244
61,2704.33,0.94186,0.53665,0.878,0.85562,0.86211,0.9134,0.68457,0.78916,0.52057,0.78458,0.000452732,0.000452732,0.000452732
62,2747.52,0.93578,0.5189,0.87802,0.87826,0.87867,0.92532,0.69357,0.78591,0.47995,0.78582,0.000451197,0.000451197,0.000451197
63,2792.01,0.94344,0.51521,0.87561,0.86977,0.87234,0.92226,0.68532,0.78948,1.01464,0.78379,0.000449641,0.000449641,0.000449641
64,2835.17,0.928,0.51618,0.87384,0.87289,0.86504,0.91999,0.69258,0.78941,0.74866,0.78483,0.000448063,0.000448063,0.000448063
65,2878.72,0.95088,0.52163,0.87483,0.88188,0.8663,0.92322,0.6858,0.80635,0.47636,0.78587,0.000446464,0.000446464,0.000446464
66,2921.88,0.93542,0.52202,0.87805,0.85393,0.8587,0.91626,0.69108,0.7755,0.43081,0.78201,0.000444844,0.000444844,0.000444844
67,2965.21,0.9349,0.5091,0.87473,0.87724,0.87649,0.92593,0.69361,0.7856,0.8021,0.78351,0.000443202,0.000443202,0.000443202
68,3009.56,0.92232,0.50757,0.87648,0.88699,0.86242,0.93118,0.70272,0.77887,0.44625,0.78396,0.00044154,0.00044154,0.00044154
69,3053.85,0.94897,0.51981,0.87801,0.88537,0.87368,0.92729,0.69265,0.7878,1.07083,0.78417,0.000439856,0.000439856,0.000439856
70,3096.84,0.93688,0.51684,0.87539,0.871,0.86737,0.92271,0.69366,0.78588,0.43873,0.78467,0.000438152,0.000438152,0.000438152
71,3139.93,0.94471,0.51693,0.88072,0.88206,0.87448,0.92408,0.68991,0.78589,0.47538,0.78235,0.000436428,0.000436428,0.000436428
72,3182.91,0.92722,0.50935,0.87546,0.88181,0.87215,0.93164,0.69643,0.78334,0.80521,0.7816,0.000434684,0.000434684,0.000434684
73,3226.34,0.92518,0.50679,0.87496,0.88991,0.88058,0.93044,0.69631,0.79141,0.44256,0.78331,0.00043292,0.00043292,0.00043292
74,3270.29,0.93387,0.50673,0.87123,0.88368,0.87253,0.93023,0.69849,0.79104,0.51658,0.78389,0.000431136,0.000431136,0.000431136
