epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.503336,0.123535,2.423157,0.251082,0.000100
2,2.215806,0.235347,2.197959,0.419913,0.000200
3,2.026946,0.339946,2.376069,0.484848,0.000300
4,1.865583,0.420198,1.321573,0.666667,0.000400
5,1.734230,0.482417,1.841377,0.528139,0.000500
6,1.674645,0.512173,1.722621,0.549784,0.000600
7,1.633190,0.502254,1.764220,0.558442,0.000700
8,1.600704,0.513977,1.174593,0.766234,0.000800
9,1.556185,0.563571,1.401963,0.688312,0.000900
10,1.484859,0.576195,1.462805,0.623377,0.001000
11,1.497901,0.600541,1.169459,0.787879,0.001000
12,1.316922,0.666366,1.223314,0.753247,0.001000
13,1.282153,0.694319,1.002012,0.822511,0.001000
14,1.238839,0.703336,1.157979,0.796537,0.001000
15,1.213172,0.706041,1.219351,0.779221,0.001000
16,1.133333,0.760144,1.482919,0.696970,0.001000
17,1.156504,0.757439,0.949686,0.874459,0.001000
18,1.099537,0.752029,0.995554,0.835498,0.001000
19,1.037024,0.782687,0.943950,0.857143,0.001000
20,1.029805,0.807033,0.988501,0.874459,0.001000
21,1.031576,0.799820,0.873343,0.922078,0.001000
22,0.965688,0.842200,0.831957,0.926407,0.001000
23,0.995733,0.813345,0.861441,0.917749,0.001000
24,0.964828,0.825068,0.922397,0.896104,0.001000
25,0.911796,0.857529,0.915084,0.887446,0.001000
26,1.014154,0.810640,0.959709,0.852814,0.001000
27,0.916100,0.849414,0.824294,0.913420,0.001000
28,0.917904,0.842200,0.902740,0.870130,0.001000
29,0.888581,0.862940,0.835187,0.922078,0.001000
30,0.886942,0.861136,0.763460,0.926407,0.001000
31,0.882502,0.865645,0.753648,0.943723,0.001000
32,0.895622,0.854824,0.924096,0.874459,0.001000
33,0.873571,0.862940,0.850840,0.935065,0.001000
34,0.864052,0.876465,0.888411,0.917749,0.001000
35,0.830052,0.889089,1.048857,0.826840,0.001000
36,0.886846,0.865645,0.832477,0.891775,0.001000
37,0.856797,0.871055,0.938878,0.887446,0.001000
38,0.855600,0.872858,0.910897,0.896104,0.001000
39,0.813120,0.893598,0.812307,0.930736,0.000500
40,0.756133,0.922453,0.785742,0.956710,0.000500
41,0.727832,0.934175,0.832419,0.930736,0.000500
42,0.734239,0.921551,0.751913,0.961039,0.000500
43,0.714921,0.942290,0.738608,0.935065,0.000500
44,0.722798,0.935978,0.733806,0.952381,0.000500
45,0.707638,0.941389,0.814153,0.913420,0.000500
46,0.696713,0.950406,0.751816,0.930736,0.000500
47,0.684309,0.951307,0.715215,0.948052,0.000500
48,0.655469,0.967538,0.744963,0.948052,0.000500
49,0.701577,0.936880,0.820686,0.939394,0.000500
50,0.682678,0.951307,0.716035,0.961039,0.000500
51,0.677182,0.954914,0.737253,0.952381,0.000500
52,0.681118,0.955816,0.768831,0.935065,0.000500
53,0.670969,0.954013,0.725746,0.961039,0.000500
54,0.688399,0.944995,0.727963,0.956710,0.000500
55,0.686363,0.955816,0.762809,0.917749,0.000250
56,0.647348,0.969342,0.684692,0.974026,0.000250
57,0.622680,0.972047,0.690224,0.969697,0.000250
58,0.617149,0.983769,0.688998,0.974026,0.000250
59,0.606583,0.982867,0.703568,0.956710,0.000250
60,0.603987,0.983769,0.683576,0.974026,0.000250
61,0.602804,0.984671,0.681138,0.965368,0.000250
62,0.602977,0.984671,0.723921,0.952381,0.000250
63,0.599054,0.989179,0.697962,0.952381,0.000250
64,0.585780,0.988278,0.693465,0.974026,0.000250
65,0.606995,0.981966,0.678379,0.956710,0.000250
66,0.613120,0.982867,0.671764,0.974026,0.000250
67,0.599600,0.982867,0.722507,0.952381,0.000250
68,0.591867,0.986474,0.664511,0.956710,0.000250
69,0.596413,0.988278,0.700316,0.956710,0.000250
70,0.606633,0.982867,0.688680,0.961039,0.000250
71,0.627101,0.972949,0.700572,0.965368,0.000250
72,0.618550,0.978359,0.716417,0.948052,0.000250
73,0.610264,0.981064,0.690539,0.961039,0.000250
74,0.611317,0.974752,0.679047,0.965368,0.000250
75,0.595146,0.985573,0.671498,0.956710,0.000250
76,0.627307,0.974752,0.785326,0.943723,0.000125
