epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1911.89,0.91335,0.47107,0.85952,0.8815,0.90069,0.94391,0.72273,0.7023,0.63959,0.72273,0.0008647,0.0008647,0.0008647
43,1957.79,0.91467,0.4735,0.85932,0.9108,0.87639,0.94085,0.713,0.72376,0.50386,0.7267,0.0008614,0.0008614,0.0008614
44,2002.41,0.91017,0.47544,0.85692,0.91573,0.87563,0.94477,0.7193,0.71157,0.39597,0.72422,0.0008581,0.0008581,0.0008581
45,2047.18,0.89915,0.46749,0.8542,0.89723,0.89539,0.94098,0.71954,0.71026,0.36706,0.72442,0.0008548,0.0008548,0.0008548
46,2091.36,0.89659,0.46066,0.85429,0.88688,0.89007,0.93302,0.71035,0.70789,0.37953,0.72429,0.0008515,0.0008515,0.0008515
47,2136.64,0.89237,0.46897,0.85255,0.90844,0.88032,0.9444,0.71904,0.71293,0.84792,0.72701,0.0008482,0.0008482,0.0008482
48,2180.93,0.91461,0.46849,0.85625,0.89312,0.89469,0.93898,0.71136,0.72161,0.51014,0.72656,0.0008449,0.0008449,0.0008449
49,2225.24,0.90978,0.4688,0.85502,0.89721,0.87728,0.94349,0.71344,0.72232,0.81302,0.72604,0.0008416,0.0008416,0.0008416
50,2270.91,0.90648,0.45924,0.85632,0.89267,0.90116,0.94208,0.72211,0.70161,0.685,0.72326,0.0008383,0.0008383,0.0008383
51,2315.95,0.88393,0.44654,0.84938,0.87791,0.90971,0.94162,0.71787,0.69785,0.67661,0.72212,0.000835,0.000835,0.000835
52,2360.42,0.90636,0.46172,0.85538,0.88386,0.88727,0.94056,0.71693,0.71481,0.45762,0.72478,0.0008317,0.0008317,0.0008317
53,2405.21,0.90086,0.45578,0.85425,0.90249,0.89658,0.94537,0.72388,0.70181,0.36992,0.72241,0.0008284,0.0008284,0.0008284
54,2451.59,0.88821,0.45147,0.85458,0.89976,0.90218,0.94649,0.72675,0.7036,0.3685,0.72344,0.0008251,0.0008251,0.0008251
55,2500.07,0.89924,0.44995,0.85213,0.90228,0.91497,0.95046,0.72857,0.70029,0.79818,0.72176,0.0008218,0.0008218,0.0008218
56,2546.94,0.89366,0.44636,0.85349,0.90683,0.90741,0.95281,0.73022,0.71333,0.50777,0.72571,0.0008185,0.0008185,0.0008185
57,2593.38,0.88161,0.4439,0.8513,0.91047,0.90531,0.95352,0.73256,0.70413,0.61828,0.72174,0.0008152,0.0008152,0.0008152
58,2639.39,0.87911,0.43721,0.85007,0.90572,0.90509,0.95384,0.73787,0.69333,0.35819,0.72159,0.0008119,0.0008119,0.0008119
59,2685.82,0.87672,0.43869,0.85315,0.9016,0.89619,0.93572,0.71122,0.72466,0.46738,0.72749,0.0008086,0.0008086,0.0008086
60,2731.52,0.88708,0.4502,0.85036,0.89809,0.91428,0.95386,0.73475,0.69366,0.37548,0.7219,0.0008053,0.0008053,0.0008053
61,2775.73,0.88875,0.44772,0.8553,0.91227,0.89912,0.95136,0.72832,0.70345,0.44639,0.72289,0.000802,0.000802,0.000802
62,2820.23,0.88418,0.44504,0.85321,0.9159,0.90277,0.95622,0.73839,0.69026,0.35616,0.72061,0.0007987,0.0007987,0.0007987
63,2865.83,0.88595,0.4433,0.85219,0.91603,0.89557,0.94866,0.72992,0.69547,0.5009,0.72048,0.0007954,0.0007954,0.0007954
64,2910.81,0.89335,0.44171,0.85259,0.90712,0.90393,0.95574,0.73126,0.70215,2.08419,0.72223,0.0007921,0.0007921,0.0007921
65,2957.61,0.8854,0.43891,0.8519,0.93741,0.89234,0.95639,0.73544,0.69563,0.40591,0.72102,0.0007888,0.0007888,0.0007888
66,3001.66,0.87701,0.43727,0.85334,0.89767,0.91801,0.95825,0.73568,0.7049,1.01157,0.72197,0.0007855,0.0007855,0.0007855
67,3046.12,0.88934,0.4439,0.8515,0.90779,0.90573,0.95388,0.73449,0.70044,1.14765,0.72297,0.0007822,0.0007822,0.0007822
68,3090.41,0.88814,0.4417,0.85247,0.91071,0.91328,0.95795,0.73135,0.70821,1.01711,0.724,0.0007789,0.0007789,0.0007789
69,3134.49,0.87827,0.44089,0.85124,0.92418,0.90761,0.96052,0.73505,0.71249,0.59848,0.72441,0.0007756,0.0007756,0.0007756
70,3180.37,0.86756,0.42801,0.84781,0.91513,0.91052,0.95357,0.73575,0.70391,1.20763,0.72179,0.0007723,0.0007723,0.0007723
71,3224.49,0.86381,0.42876,0.84611,0.91905,0.90404,0.95532,0.74456,0.68485,0.49259,0.71931,0.000769,0.000769,0.000769
72,3270.01,0.87057,0.43581,0.84933,0.91772,0.91697,0.95819,0.7394,0.69333,0.34737,0.72015,0.0007657,0.0007657,0.0007657
73,3315.72,0.88842,0.44148,0.85228,0.91271,0.90565,0.9516,0.73653,0.689,0.36782,0.71961,0.0007624,0.0007624,0.0007624
74,3360.84,0.87678,0.43198,0.84692,0.92035,0.90219,0.9538,0.73645,0.69266,0.47543,0.72012,0.0007591,0.0007591,0.0007591
75,3405.5,0.85552,0.42098,0.84724,0.92179,0.91023,0.96105,0.74466,0.68338,1.90454,0.71887,0.0007558,0.0007558,0.0007558
76,3451.98,0.86068,0.417,0.84926,0.92721,0.91856,0.96112,0.73859,0.70125,0.82731,0.72265,0.0007525,0.0007525,0.0007525
77,3496.01,0.8702,0.42125,0.85088,0.91895,0.91846,0.96201,0.74627,0.68927,0.33581,0.72007,0.0007492,0.0007492,0.0007492
78,3541.61,0.85744,0.41888,0.84505,0.92625,0.91158,0.96354,0.7481,0.68461,0.42115,0.71944,0.0007459,0.0007459,0.0007459
79,3587.94,0.85512,0.42262,0.84529,0.92379,0.91018,0.95783,0.7372,0.7079,0.50385,0.72202,0.0007426,0.0007426,0.0007426
80,3632.98,0.87783,0.4229,0.85495,0.92305,0.9037,0.95449,0.73459,0.69556,0.41894,0.7211,0.0007393,0.0007393,0.0007393
81,3678.97,0.85082,0.41159,0.84579,0.92168,0.91376,0.96173,0.7448,0.68263,0.79349,0.71846,0.000736,0.000736,0.000736
82,3724.52,0.86474,0.41725,0.8464,0.9241,0.91046,0.96047,0.74715,0.67511,0.37136,0.71735,0.0007327,0.0007327,0.0007327
83,3768.92,0.86047,0.41588,0.84407,0.93015,0.9114,0.96297,0.74464,0.68268,0.35614,0.71916,0.0007294,0.0007294,0.0007294
84,3813.49,0.85089,0.41419,0.84765,0.92458,0.91447,0.95649,0.7408,0.68891,0.62779,0.72016,0.0007261,0.0007261,0.0007261
85,3857.6,0.86437,0.42103,0.84798,0.92663,0.91708,0.96447,0.74679,0.6851,0.32844,0.71936,0.0007228,0.0007228,0.0007228
86,3902.68,0.86224,0.41407,0.84659,0.92701,0.89959,0.95561,0.74123,0.68109,0.87746,0.71884,0.0007195,0.0007195,0.0007195
87,3947.39,0.85684,0.4104,0.84866,0.92335,0.92443,0.96273,0.7497,0.67846,0.81884,0.71798,0.0007162,0.0007162,0.0007162
88,3993.36,0.86015,0.41796,0.84322,0.93182,0.91583,0.95976,0.74871,0.67909,0.3339,0.71749,0.0007129,0.0007129,0.0007129
89,4038.63,0.85068,0.41419,0.84498,0.93912,0.91941,0.96812,0.75062,0.69023,0.38654,0.71912,0.0007096,0.0007096,0.0007096
90,4084.55,0.84783,0.41204,0.8436,0.92894,0.91658,0.96215,0.74779,0.68289,0.44103,0.7179,0.0007063,0.0007063,0.0007063
91,4130.48,0.84661,0.40868,0.84556,0.93332,0.91419,0.96423,0.74509,0.69248,0.39636,0.72103,0.000703,0.000703,0.000703
92,4174.89,0.84973,0.41211,0.84793,0.92191,0.90801,0.954,0.73763,0.69356,0.74776,0.72031,0.0006997,0.0006997,0.0006997
93,4219.24,0.84659,0.4134,0.84598,0.92829,0.91827,0.96318,0.74931,0.68699,0.33333,0.71888,0.0006964,0.0006964,0.0006964
94,4263.63,0.83561,0.40796,0.84146,0.93023,0.91167,0.96039,0.75121,0.67027,0.31978,0.71605,0.0006931,0.0006931,0.0006931
95,4310.03,0.8469,0.40389,0.84421,0.93646,0.91415,0.96577,0.746,0.68923,0.41714,0.71961,0.0006898,0.0006898,0.0006898
96,4355.25,0.83667,0.40084,0.8429,0.92583,0.92984,0.9676,0.75445,0.67222,0.31349,0.71644,0.0006865,0.0006865,0.0006865
97,4402.68,0.85313,0.40541,0.84248,0.92813,0.91994,0.96381,0.74328,0.6825,0.31974,0.71699,0.0006832,0.0006832,0.0006832
98,4447.41,0.83961,0.4046,0.8408,0.92419,0.9303,0.96524,0.75249,0.67513,0.71626,0.71752,0.0006799,0.0006799,0.0006799
99,4491.92,0.84464,0.40425,0.84485,0.92534,0.90534,0.95674,0.75103,0.66828,0.35661,0.71637,0.0006766,0.0006766,0.0006766
100,4536.44,0.83448,0.39809,0.84554,0.92707,0.92208,0.96473,0.75873,0.6652,0.36999,0.71583,0.0006733,0.0006733,0.0006733
101,4583.11,0.84068,0.40228,0.84159,0.9456,0.90727,0.96257,0.74491,0.68829,0.44133,0.71922,0.00067,0.00067,0.00067
102,4627.17,0.84391,0.40134,0.84555,0.94004,0.92036,0.96694,0.7526,0.68024,0.43534,0.7183,0.0006667,0.0006667,0.0006667
103,4671.3,0.84942,0.40561,0.84675,0.92893,0.92103,0.96114,0.73507,0.70352,0.64168,0.72099,0.0006634,0.0006634,0.0006634
104,4715.54,0.8373,0.40452,0.84079,0.93819,0.92888,0.97043,0.74475,0.70607,0.3276,0.72253,0.0006601,0.0006601,0.0006601
105,4759.66,0.83881,0.40329,0.84378,0.93293,0.92481,0.96761,0.75531,0.67068,0.35909,0.71655,0.0006568,0.0006568,0.0006568
106,4803.79,0.82629,0.39305,0.84218,0.94276,0.92107,0.96903,0.76128,0.66184,0.38909,0.71407,0.0006535,0.0006535,0.0006535
107,4849.61,0.82556,0.39006,0.83922,0.93828,0.927,0.9673,0.75827,0.66769,0.31711,0.71642,0.0006502,0.0006502,0.0006502
108,4894.46,0.82826,0.39594,0.84109,0.93585,0.90986,0.96201,0.74819,0.67153,4.07097,0.71656,0.0006469,0.0006469,0.0006469
109,4938.91,0.8332,0.3926,0.84363,0.92882,0.92233,0.96789,0.75711,0.67842,0.32601,0.71696,0.0006436,0.0006436,0.0006436
110,4983.2,0.8354,0.39746,0.84263,0.94369,0.92677,0.96963,0.76012,0.66471,0.31437,0.71564,0.0006403,0.0006403,0.0006403
111,5027.55,0.83268,0.39317,0.84241,0.94373,0.92738,0.9714,0.76288,0.6667,0.3071,0.7151,0.000637,0.000637,0.000637
112,5074.35,0.82367,0.39407,0.8429,0.94743,0.92139,0.96995,0.7633,0.66381,0.30827,0.71543,0.0006337,0.0006337,0.0006337
113,5120.74,0.81924,0.39317,0.84248,0.94302,0.92525,0.97028,0.75819,0.67143,0.32222,0.71566,0.0006304,0.0006304,0.0006304
114,5165.02,0.82556,0.39501,0.83838,0.9422,0.93008,0.96944,0.76408,0.6552,0.31575,0.71328,0.0006271,0.0006271,0.0006271
115,5210.83,0.81485,0.38543,0.83917,0.94781,0.92114,0.96985,0.76051,0.66428,0.31055,0.71505,0.0006238,0.0006238,0.0006238
116,5255.27,0.82084,0.38859,0.83679,0.94557,0.91759,0.96977,0.76201,0.66685,0.31243,0.71428,0.0006205,0.0006205,0.0006205
117,5299.34,0.82587,0.39196,0.84379,0.93822,0.91587,0.9638,0.75367,0.67834,0.64659,0.7175,0.0006172,0.0006172,0.0006172
118,5344.4,0.82835,0.39556,0.84296,0.93763,0.93152,0.97117,0.76746,0.6547,0.53814,0.71274,0.0006139,0.0006139,0.0006139
119,5390.91,0.81761,0.39252,0.83758,0.94047,0.92415,0.96864,0.75813,0.66992,0.31111,0.71561,0.0006106,0.0006106,0.0006106
120,5435.32,0.80989,0.3882,0.84029,0.94211,0.92653,0.96545,0.75809,0.65702,0.3674,0.71329,0.0006073,0.0006073,0.0006073
121,5479.71,0.81378,0.38416,0.83959,0.94144,0.93131,0.97189,0.76069,0.67463,0.73125,0.71612,0.000604,0.000604,0.000604
122,5523.75,0.81223,0.38316,0.83853,0.94397,0.93243,0.96803,0.76293,0.66019,0.31619,0.71456,0.0006007,0.0006007,0.0006007
123,5568.88,0.80588,0.38377,0.83728,0.94198,0.92637,0.96959,0.76112,0.66519,0.31429,0.7146,0.0005974,0.0005974,0.0005974
124,5614.22,0.81029,0.38007,0.83872,0.94621,0.92447,0.97206,0.76754,0.65223,0.3158,0.71261,0.0005941,0.0005941,0.0005941
125,5659.78,0.83733,0.39035,0.8416,0.94937,0.92645,0.96923,0.76103,0.66586,0.30007,0.71465,0.0005908,0.0005908,0.0005908
126,5704.2,0.80675,0.3764,0.83975,0.95686,0.92412,0.97215,0.76821,0.65098,0.34056,0.71336,0.0005875,0.0005875,0.0005875
127,5751.02,0.80422,0.38076,0.83628,0.93155,0.93023,0.96745,0.75929,0.66004,0.30916,0.71336,0.0005842,0.0005842,0.0005842
128,5795.16,0.80467,0.37613,0.83786,0.93904,0.93239,0.97008,0.76163,0.66554,0.45644,0.71468,0.0005809,0.0005809,0.0005809
129,5840.71,0.80294,0.37892,0.8394,0.943,0.93982,0.97288,0.77273,0.64641,2.24316,0.71086,0.0005776,0.0005776,0.0005776
130,5886.51,0.80494,0.37867,0.83783,0.94219,0.9408,0.97233,0.76473,0.66269,0.36273,0.71473,0.0005743,0.0005743,0.0005743
131,5930.71,0.79428,0.37398,0.83645,0.94557,0.93697,0.97185,0.77522,0.64429,0.30638,0.71071,0.000571,0.000571,0.000571
